target_contrast_gene_name,Rest,Stim8hr,Stim48hr
WWP1,-13.678317090620554,-13.58106209212855,-12.311033332885994
WWP2,-16.745886155319393,-14.685034443956022,-14.32106270114758
XAF1,-18.47038191869978,-9.059928511171917,-9.171766441417889
XBP1,-17.748309477037704,-21.359689012211213,-24.76134340633312
XCL1,-1.1134502010174618,-6.167374206970185,-1.735328974763653
XCL2,-0.4309986857645813,-0.9281780222787578,-1.2169244811242137
XIAP,-8.281990405703091,-6.657302194537452,-5.008160407423595
XIRP1,-0.951978601552558,-3.9376065100293625,-0.4132498984589221
XK,0.0,0.0,0.0
XKR6,-11.3576979716077,-11.17866121763878,-12.968334442011274
XKR8,-7.376043835495045,-6.282658379674759,-5.385509532444328
XKRX,0.0,0.0,0.0
XPA,-15.049979140959168,-13.988532066541,-12.584258964401386
XPNPEP1,-28.61340008143428,-34.54213913697144,-34.85731722937567
XPNPEP3,-5.092331178282742,-5.818905014306185,-5.926459984094839
XPO4,-8.059160960883611,-13.584311180034392,-9.142727697891493
XPO5,-10.454317899431194,-13.212390905038264,-13.100301532520186
XPO6,-11.730529754509558,-16.260770935850452,-14.797605506213312
XPO7,-16.750977269682636,-18.94634132199004,-17.42318818579471
XPOT,-10.214850642510644,-15.874520698534983,-18.47266909786942
XPR1,-10.99420965115456,-13.26430348082514,-10.859582815025831
XRCC1,-9.932624282176336,-10.1198710451521,-12.163455712620452
XRCC2,-2.465347333753616,-4.195356813137808,-4.205363430823753
XRCC3,0.0,,
XRN1,-9.153304503562302,-10.555965922319585,-10.957169464634106
XRN2,-3.463904275121032,,
XRRA1,-5.840963898897032,-8.250793230696582,-7.837772858568112
XXYLT1,-4.7652831764239725,-8.758247118228827,-5.042239685651849
XYLB,-6.393077519643335,-6.448936007400605,-6.037972635357891
XYLT1,-4.016734523407513,-4.4321224444933165,-2.726712080021377
XYLT2,-9.526415840059892,-15.04271897350431,-14.2917122228841
YAF2,-17.477487800821667,-16.157164886050005,-16.49867965339467
YARS1,,-6.049151142367794,-7.459930228441659
YARS2,-7.486436945907457,-11.18654764174878,-9.134044184199452
YBEY,-1.9174234793735083,-1.756975193322824,-1.6239183115323146
YBX1,-8.820737262852969,-9.404906035510471,-9.136205850580984
YBX2,0.0,0.0,0.0
YBX3,-1.9466364722727527,-1.6770816039483574,-3.141483016128956
YDJC,-9.711715859206883,-14.566090599550185,-10.877325070275676
YEATS2,-6.502012501050489,-6.608798576433839,-5.616718626647507
YES1,-2.398230977678268,-8.292494515435774,-10.869724922650878
YIF1A,-12.036998706458784,-21.220763476374,-15.53453757103564
YIF1B,-16.42948277589269,-17.661848235879155,-24.07739894074485
YIPF1,-17.104007257202827,-14.298995908803644,-19.83688631673368
YIPF2,-3.243558793934759,-5.586756343958551,-5.877873580147533
YIPF3,-16.089427265467982,-14.51874930221924,-12.979864061803337
YIPF4,-9.567265948799951,-11.42553072794732,-12.62484059815992
YIPF5,-12.823713746287442,-13.829034065696288,-15.600386044894526
YIPF6,-9.972697264962562,-13.71768056272199,-14.972403257464444
YJEFN3,-0.4740599739607965,-0.996958236883758,-1.211666008051282
YJU2,-2.674039812894626,-2.4566219795801087,-2.527519638439545
YJU2B,-2.131072037205033,-2.563052466734787,-3.137341165125709
YLPM1,0.0,0.0,0.0
YME1L1,-8.8129124450829,-12.877452936372258,-12.290363288502371
YOD1,-5.851306451452737,-6.221513058666912,-7.064336252130325
YPEL1,-5.237470508926756,-1.2312242565507283,-3.7477572025260457
YPEL2,-8.65372338285811,-6.778839977751313,-9.477720152641336
YPEL3,-12.0712311339305,-4.912503085713481,-10.406971558469076
YPEL4,0.0,0.0,0.0
YPEL5,-11.529089128322514,-7.83654041521626,-12.213014852769026
YRDC,-3.2402528259442,-4.241233628864761,-5.748709911646663
YTHDC2,-21.221983966214488,-22.28926020379692,-22.22691805715341
YTHDF1,-11.693829038633917,-14.759389591452369,-12.27702190934423
YTHDF2,-26.707982717614687,-27.67402235360341,-21.815594176327807
YTHDF3,-15.257643862345336,-14.843628172606293,-12.725358955870403
YWHAB,-19.81880916678272,-21.193021489570867,-22.1307068953694
YWHAE,-9.92810872804581,-11.330170101622205,-9.14957445370824
YWHAG,-12.098708533733694,-20.812557529360177,-19.992383273851345
YWHAH,-2.1257402075134384,-1.9999544262751672,-1.7666049239238402
YWHAQ,-6.810273731986151,-7.910938295105748,-8.984257046167798
YWHAZ,-13.232138024142587,-14.497519221411428,-12.980778539111434
YY1,-10.965538152307898,-14.912388623082444,-6.943468476046339
YY1AP1,-8.839216214583667,-7.926781860899969,-7.633557284105893
YY2,-1.1389936487958214,0.8356733298143018,-0.2552299001244442
ZACN,0.0,0.0,0.0
ZAP70,-17.03053948971874,-12.174402170204049,-3.329774443322945
ZBED1,-5.218877183614532,-7.2158959307101265,-6.061359873177512
ZBED10P,0.0,0.0,0.0
ZBED2,-2.0675695552382005,-32.87555415695605,-30.47530258453853
