target_contrast_gene_name,Rest,Stim8hr,Stim48hr
ASB2,0.0,0.0,2.0
ASB6,15.0,25.0,
ASB7,0.0,0.0,2.0
ASB8,2.0,2.0,1.0
ASCC1,5.0,3.0,6.0
ASCC2,29.0,2.0,12.0
ASCC3,,,4.0
ASCL1,3.0,2.0,2.0
ASCL2,0.0,0.0,1.0
ASCL3,2.0,1.0,2.0
ASCL4,2.0,7.0,2.0
ASCL5,2.0,0.0,2.0
ASF1A,9.0,2.0,3.0
ASF1B,8.0,,
ASH1L,10.0,4.0,8.0
ASH2L,,589.0,112.0
ASIC1,0.0,0.0,1.0
ASIC3,2.0,2.0,1.0
ASL,3.0,1.0,2.0
ASMTL,1.0,2.0,2.0
ASNS,0.0,1.0,0.0
ASNSD1,2.0,1.0,1.0
ASPH,1.0,1.0,1.0
ASPHD2,2.0,2.0,3.0
ASPM,1.0,1.0,3.0
ASPRV1,0.0,0.0,0.0
ASPSCR1,1.0,1.0,1.0
ASRGL1,1.0,5.0,1.0
ASTE1,1.0,7.0,1.0
ASTL,1.0,1.0,0.0
ASXL1,275.0,42.0,9.0
ASXL2,19.0,28.0,
ATAD1,1.0,1.0,3.0
ATAD2,1.0,1.0,1.0
ATAD2B,5.0,9.0,6.0
ATAD3A,2.0,7.0,720.0
ATAD3B,1.0,1.0,1.0
ATAD5,3791.0,3597.0,3475.0
ATAT1,3.0,1.0,4.0
ATE1,1.0,1.0,1.0
ATF1,3.0,2.0,7.0
ATF2,4.0,1.0,1.0
ATF3,1.0,0.0,10.0
ATF4,86.0,1062.0,393.0
ATF6,2.0,3.0,2.0
ATF6B,6.0,7.0,30.0
ATF7,3.0,2.0,3.0
ATF7IP,8.0,6.0,74.0
ATF7IP2,854.0,2731.0,1380.0
ATG10,3.0,1.0,2.0
ATG101,3.0,1.0,32.0
ATG12,508.0,177.0,7.0
ATG13,3.0,0.0,1.0
ATG14,19.0,6.0,267.0
ATG16L1,1.0,3.0,0.0
ATG16L2,2.0,4.0,1.0
ATG2A,1.0,2.0,5.0
ATG2B,4.0,3.0,2.0
ATG3,20.0,15.0,36.0
ATG4A,3.0,4.0,4.0
ATG4B,2.0,2.0,1.0
ATG4C,2.0,2.0,5.0
ATG4D,1.0,7.0,4.0
ATG5,9.0,4.0,4.0
ATG7,1.0,1.0,1.0
ATG9A,43.0,32.0,80.0
ATG9B,20.0,0.0,0.0
ATIC,63.0,181.0,
ATL1,14.0,180.0,0.0
ATL2,2.0,17.0,10.0
ATL3,5.0,3.0,6.0
ATM,97.0,71.0,143.0
ATMIN,2.0,4.0,4.0
ATN1,2.0,4.0,4.0
ATOH1,0.0,1.0,0.0
ATOH7,1.0,0.0,6.0
ATOH8,0.0,9.0,4.0
