"search_term","nctId","status","phases","title","conditions","interventions","url"
"tofacitinib","NCT04413617","COMPLETED","PHASE2","TO ASSESS THE EFFICACY AND SAFETY OF PF-06650833, PF-06651600, AND TOFACITINIB ALONE AND IN COMBINATION IN PARTICIPANTS WITH ACTIVE RHEUMATOID ARTHRITIS WITH AN INADEQUATE RESPONSE TO METHOTREXATE","Rheumatoid Arthritis","PF-06650833; PF-06651600; Tofacitinib","https://clinicaltrials.gov/study/NCT04413617"
"tofacitinib","NCT04876781","RECRUITING","","Korean Post-marketing Surveillance for Xeljanz XR","Active Moderate to Severe Rheumatoid Arthritis; Active Ankylosing Spondylitis; Active Psoriatic Arthritis","Tofacitinib XR","https://clinicaltrials.gov/study/NCT04876781"
"tofacitinib","NCT04973033","COMPLETED","NA","Effect of Tofacitinib in Treating ANCA-associated Vasculitis","ANCA Associated Vasculitis; Drug Use; JAK-STAT Pathway Deregulation","Tofacitinib","https://clinicaltrials.gov/study/NCT04973033"
"tofacitinib","NCT05487703","COMPLETED","","A Study To Describe The Use Of Tofacitinib After Use Of Rituximab In Patients With Rheumatoid Arthritis In A Real-World Setting","Arthritis, Rheumatoid","","https://clinicaltrials.gov/study/NCT05487703"
"tofacitinib","NCT05530122","COMPLETED","","Prognosis in UC After First Biological","Ulcerative Colitis","infliximab, adalimumab, golimumab, vedolizumab, ustekinumab","https://clinicaltrials.gov/study/NCT05530122"
"upadacitinib","NCT02706873","COMPLETED","PHASE3","A Study to Compare Upadacitinib (ABT-494) Monotherapy to Methotrexate (MTX) Monotherapy in Adults With Rheumatoid Arthritis (RA) Who Have Not Previously Taken Methotrexate","Rheumatoid Arthritis","Placebo to Upadacitinib; Methotrexate; Placebo to Methotrexate; Upadacitinib","https://clinicaltrials.gov/study/NCT02706873"
"upadacitinib","NCT03104400","COMPLETED","PHASE3","A Study Comparing Upadacitinib (ABT-494) to Placebo and to Adalimumab in Participants With Psoriatic Arthritis Who Have an Inadequate Response to at Least One Non-Biologic Disease Modifying Anti-Rheumatic Drug (DMARD)","Psoriatic Arthritis","Adalimumab; Upadacitinib; Placebo to Upadacitinib; Placebo to Adalimumab","https://clinicaltrials.gov/study/NCT03104400"
"upadacitinib","NCT03823378","TERMINATED","PHASE2","A Study in Rheumatoid Arthritis Patients Who Have Completed a Preceding Study With ABBV-105 Given Alone or in Combination With Upadacitinib","Rheumatoid Arthritis (RA)","Elsubrutinib; Upadacitinib; Placebo for elsubrutinib; Placebo for upadacitinib","https://clinicaltrials.gov/study/NCT03823378"
"upadacitinib","NCT04505410","COMPLETED","PHASE3","Second Line Induction Therapy and Healthy Diet for Patients With Ulcerative Colitis","Ulcerative Colitis","A plant based high fiber diet that mimics fasting (""FMD"") plus advanced therapy; Advanced therapy only without dietary intervention","https://clinicaltrials.gov/study/NCT04505410"
"upadacitinib","NCT05507580","COMPLETED","PHASE4","A Study to Assess Treat-to-Target and Dosing Flexibility of Oral Upadacitinib Tablets in Adult Participants With Moderate to Severe Atopic Dermatitis","Atopic Dermatitis","Upadacitinib","https://clinicaltrials.gov/study/NCT05507580"
"upadacitinib","NCT05616871","ACTIVE_NOT_RECRUITING","","An Observational Study to Assess Change in Disease Activity and Treatment Patterns of Upadacitinib When Given Alone or Co-Administered With Methotrexate in Adult Participants With Active Psoriatic Arthritis","Psoriatic Arthritis","","https://clinicaltrials.gov/study/NCT05616871"
"upadacitinib","NCT06227910","RECRUITING","PHASE3","A Study of Vedolizumab With and Without Upadacitinib in Adults With Crohn's Disease","Crohn's Disease","Vedolizumab; Upadacitinib; Placebo","https://clinicaltrials.gov/study/NCT06227910"
"upadacitinib","NCT06712628","RECRUITING","","A Comparison Study of Persistence of UPadacitinib vs. TNF-inhibitoRs In a German Real-world SettING","Moderate to Severe Rheumatoid Arthritis","","https://clinicaltrials.gov/study/NCT06712628"
"upadacitinib","NCT06928272","RECRUITING","PHASE3","Long Covid (LC)-REVITALIZE - A Long Covid Repurposed Drug Study","Long COVID","Pirfenidone; Placebo for pirfenidone; Upadacitinib; Placebo for upadacitinib","https://clinicaltrials.gov/study/NCT06928272"
