"search_term","nctId","status","phases","title","conditions","interventions","url"
"deucravacitinib","NCT07280702","NOT_YET_RECRUITING","PHASE4","Deucravacitinib-TNFi Combination Therapy for Difficult-to-Control Psoriatic Disease","Psoriatic Arthritis (PsA)","Deucravacitinib; Placebo","https://clinicaltrials.gov/study/NCT07280702"
"efavaleukin alfa","NCT03410056","TERMINATED","PHASE1;PHASE2","Safety and Efficacy of Efavaleukin Alfa in Subjects With Active Rheumatoid Arthritis","Rheumatoid Arthritis RA","Efavaleukin alfa; Placebo","https://clinicaltrials.gov/study/NCT03410056"
"efavaleukin alfa","NCT03422627","TERMINATED","PHASE1;PHASE2","Safety and Efficacy of Efavaleukin Alfa in Subjects With Steroid Refractory Chronic Graft Versus Host Disease","Chronic Graft Versus Host Disease cGVHD","Efavaleukin Alfa","https://clinicaltrials.gov/study/NCT03422627"
"efavaleukin alfa","NCT03451422","COMPLETED","PHASE1","Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Immunogenicity of Efavaleukin Alfa in Participants With Systemic Lupus Erythematosus","Systemic Lupus Erythematosus","Efavaleukin Alfa; Placebo","https://clinicaltrials.gov/study/NCT03451422"
"efavaleukin alfa","NCT04680637","TERMINATED","PHASE2","Efficacy and Safety of Efavaleukin Alfa in Subjects With Active Systemic Lupus Erythematosus","Active Systemic Lupus Erythematosus","Efavaleukin Alfa; Placebo; Standard of Care","https://clinicaltrials.gov/study/NCT04680637"
"efavaleukin alfa","NCT04987307","TERMINATED","PHASE2","Safety and Efficacy of Efavaleukin Alfa in Participants With Moderately to Severely Active Ulcerative Colitis","Ulcerative Colitis","Efavaleukin alfa; Placebo","https://clinicaltrials.gov/study/NCT04987307"
"efavaleukin alfa","NCT04987333","COMPLETED","PHASE1","Study of Efavaleukin Alfa in Healthy Chinese, Japanese, and Caucasian Participants","Inflammatory Diseases","Efavaleukin alfa","https://clinicaltrials.gov/study/NCT04987333"
"efavaleukin alfa","NCT05672199","TERMINATED","PHASE2","Long-term Safety and Efficacy of Efavaleukin Alfa in Participants With Moderately to Severely Active Ulcerative Colitis","Ulcerative Colitis","Efavaleukin alfa; Placebo","https://clinicaltrials.gov/study/NCT05672199"
"etrasimod","NCT03139032","TERMINATED","PHASE2","Efficacy and Safety of Etrasimod (APD334) in Inflammatory Bowel Disease Patients With Active Skin Extra-intestinal Manifestations","Inflammatory Bowel Diseases; Skin Extra-intestinal Manifestations","APD334","https://clinicaltrials.gov/study/NCT03139032"
"etrasimod","NCT03996369","COMPLETED","PHASE3","Etrasimod Versus Placebo as Induction Therapy in Moderately to Severely Active Ulcerative Colitis","Ulcerative Colitis","Etrasimod; Placebo","https://clinicaltrials.gov/study/NCT03996369"
"etrasimod","NCT04173273","TERMINATED","PHASE2;PHASE3","A Study Evaluating the Efficacy and Safety of Oral Etrasimod in the Treatment of Adult Participants With Moderately to Severely Active Crohn's Disease","Crohn's Disease","Etrasimod; Etrasimod; Placebo","https://clinicaltrials.gov/study/NCT04173273"
"etrasimod","NCT04607837","COMPLETED","PHASE2","Etrasimod Versus Placebo for the Treatment of Moderately Active Ulcerative Colitis","Ulcerative Colitis","Etrasimod; Placebo","https://clinicaltrials.gov/study/NCT04607837"
"etrasimod","NCT05061446","COMPLETED","PHASE2","Etrasimod Dose-Ranging Versus Placebo as Induction Therapy Study in Adult Japanese Subjects With Moderately to Severely Active Ulcerative Colitis","Ulcerative Colitis","Etrasimod; Etrasimod; Placebo","https://clinicaltrials.gov/study/NCT05061446"
"etrasimod","NCT06089590","RECRUITING","","Ibd CAncer and seRious Infections in France (I-CARE 2)","IBD; Ulcerative Colitis; Crohn Disease","Non-interventional","https://clinicaltrials.gov/study/NCT06089590"
"etrasimod","NCT06294925","RECRUITING","","A Study to Learn About the Effectiveness of Etrasimod in People With Ulcerative Colitis","Colitis, Ulcerative","Etrasimod","https://clinicaltrials.gov/study/NCT06294925"
"etrasimod","NCT06398626","RECRUITING","","An Observational Study of Etrasimod in Adult Patients With Moderate to Severe Ulcerative Colitis","Colitis, Ulcerative","Etrasimod","https://clinicaltrials.gov/study/NCT06398626"
"etrasimod","NCT07470879","RECRUITING","PHASE2","A Study of How the Medicine Called ""Etrasimod"" Works in Children With the Gut Disease Called Ulcerative Colitis","Colitis, Ulcerative","Etrasimod","https://clinicaltrials.gov/study/NCT07470879"
"etrasimod","NCT07486921","RECRUITING","PHASE2","Etrasimod as Prevention of Pouchitis","Pouchitis","etrasimod; Placebo","https://clinicaltrials.gov/study/NCT07486921"
"fingolimod","NCT00099801","COMPLETED","PHASE3","Safety and Efficacy of FTY720 in Adult Patients Who Receive a Kidney Transplant","Kidney Transplantation","FTY720","https://clinicaltrials.gov/study/NCT00099801"
"fingolimod","NCT00239798","COMPLETED","PHASE2","Efficacy and Safety of FTY720 in de Novo Adult Renal Transplant Recipients","Renal Transplantation","FTY720","https://clinicaltrials.gov/study/NCT00239798"
"fingolimod","NCT00333138","COMPLETED","PHASE2","Efficacy and Safety of FTY720 in Patients With Relapsing Multiple Sclerosis","Multiple Sclerosis","FTY720; Placebo","https://clinicaltrials.gov/study/NCT00333138"
"fingolimod","NCT01534182","COMPLETED","PHASE4","Evaluation of Patient Reported Outcomes in RRMS Patients Candidates for MS Therapy Change and Transitioned to Fingolimod 0.5 mg (EPOC)","Relapsing Remitting Multiple Sclerosis","Fingolimod; Interferon beta - 1a (IFN); Glatiramer acetate (GA)","https://clinicaltrials.gov/study/NCT01534182"
"fingolimod","NCT01585298","COMPLETED","PHASE4","STudy to vAlidate telemetRic ECG Systems for firsT Dose Administration of Fingolimod (START)","Multiple Sclerosis","FTY720","https://clinicaltrials.gov/study/NCT01585298"
"fingolimod","NCT01621269","WITHDRAWN","PHASE4","ENGYNE Exploring Gilenya in Patients With Neutralizing Antibodies Against Interferon","Multiple Sclerosis","Fingolimod","https://clinicaltrials.gov/study/NCT01621269"
"fingolimod","NCT03399981","COMPLETED","","Tysabri Observational Cohort Study - Multiple Sclerosis (MS) Registries","Progressive Multifocal Leukoencephalopathy","Tysabri","https://clinicaltrials.gov/study/NCT03399981"
"fingolimod","NCT04353492","COMPLETED","PHASE3","An Open-label Study Evaluating Ofatumumab Treatment Effectiveness and PROs in Subjects With RMS Transitioning From Fumarate-based RMS Approved Therapies or Fingolimod to Ofatumumab","Relapsing Multiple Sclerosis","Ofatumumab","https://clinicaltrials.gov/study/NCT04353492"
"fingolimod","NCT04718064","UNKNOWN","NA","Revascularization Pretreated With Fingolimod in Acute Stroke","Stroke","Fingolimod; placebo","https://clinicaltrials.gov/study/NCT04718064"
"fingolimod","NCT05684016","COMPLETED","NA","Assessment of Deep Gray Matter Anatomic Changes in RRMS Patients Treated With GilenyaÂ® With and Without Cognitive Impairment Over a 2 Year Period Using NeuroQuant, NeuroQuarc and ANAM","Multiple Sclerosis, Relapsing-Remitting","NeuroQuant; Automated Neuropsychological Assessment Matrices; EDSS; Physical Examination","https://clinicaltrials.gov/study/NCT05684016"
"foralumab","NCT02649985","RECRUITING","PHASE1;PHASE2","PET Brain Imaging in Multiple Sclerosis, Alzheimer's Disease, and Other Neurological and Neuropsychiatric Diseases","Multiple Sclerosis; Alzheimer's Disease","[F-18]PBR06; [C-11]PBR28","https://clinicaltrials.gov/study/NCT02649985"
"foralumab","NCT03291249","WITHDRAWN","PHASE2","Assessment of the Safety of Foralumab, an Oral Anti-CD3 Antibody, in Patients With NASH and T2DM","NASH - Nonalcoholic Steatohepatitis; NAFLD; T2DM (Type 2 Diabetes Mellitus)","Foralumab; placebo; Omeprazole 20mg","https://clinicaltrials.gov/study/NCT03291249"
"foralumab","NCT04983446","WITHDRAWN","PHASE2","In-patient COVID-19 Study of Intranasal Foralumab","Covid19; COVID-19 Lower Respiratory Infection; COVID-19 Respiratory Infection","Foralumab; Placebo","https://clinicaltrials.gov/study/NCT04983446"
"foralumab","NCT05028946","WITHDRAWN","PHASE1","A Study of Oral Foralumab in Participants With Moderate to Severely Active Crohn's Disease","Crohn's Disease","Foralumab","https://clinicaltrials.gov/study/NCT05028946"
"foralumab","NCT05029609","WITHDRAWN","PHASE1","Phase 1b Multiple Ascending Dose Study of Foralumab in Primary and Secondary Progressive MS","Primary Progressive Multiple Sclerosis; Secondary Progressive Multiple Sclerosis; Multiple Sclerosis","Intranasal Foralumab Solution; Placebo","https://clinicaltrials.gov/study/NCT05029609"
"foralumab","NCT06292923","ACTIVE_NOT_RECRUITING","PHASE2","A Study of Nasal Foralumab in Non-Active Secondary Progressive Multiple Sclerosis Patients","Secondary Progressive Multiple Sclerosis","Foralumab; Placebo","https://clinicaltrials.gov/study/NCT06292923"
"foralumab","NCT06489548","RECRUITING","PHASE2","Assessment of Foralumab Safety and Modulation of Microglial Activation in Alzheimer's Disease","Dementia; Alzheimers Disease; Mild Cognitive Impairment Due to Alzheimer's Disease","Foralumab TZLS-401 50 Âµg; Foralumab TZLS-401 100 Âµg","https://clinicaltrials.gov/study/NCT06489548"
"foralumab","NCT06802328","AVAILABLE","","Intermediate-Size Patient Population Expanded Access: Foralumab in Non-Active Secondary Progressive MS Patients","Non-Active Secondary Progressive Multiple Sclerosis","Foralumab TZLS-401 50 Âµg","https://clinicaltrials.gov/study/NCT06802328"
"foralumab","NCT06868628","RECRUITING","PHASE2","A Phase 2a Study of Foralumab Nasal in Patients With Multiple System Atrophy (MSA)","Multiple System Atrophy","Foralumab Nasal","https://clinicaltrials.gov/study/NCT06868628"
"foralumab","NCT06879067","COMPLETED","PHASE1","Safety, Tolerability and Immune Effects of the Nasal Foralumab in Healthy Human Volunteers","Safety; Tolerability","Placebo; Foralumab Nasal","https://clinicaltrials.gov/study/NCT06879067"
"frexalimab","NCT04879628","ACTIVE_NOT_RECRUITING","PHASE2","Proof-of-concept Study for SAR441344 (Frexalimab) in Relapsing Multiple Sclerosis","Multiple Sclerosis","SAR441344 IV; placebo IV; SAR441344 SC; placebo SC; MRI contrast-enhancing preparations","https://clinicaltrials.gov/study/NCT04879628"
"frexalimab","NCT05039840","ACTIVE_NOT_RECRUITING","PHASE2","Efficacy and Safety of Frexalimab (SAR441344) in the Treatment of Systemic Lupus Erythematosus","Systemic Lupus Erythematosus","SAR441344 IV; SAR441344 SC; Placebo IV; Placebo SC","https://clinicaltrials.gov/study/NCT05039840"
"frexalimab","NCT06111586","ACTIVE_NOT_RECRUITING","PHASE2","Frexalimab in Preservation of Endogenous Insulin Secretion Compared to Placebo in Adults, Adolescents and Children on Top of Insulin Therapy (FABULINUS)","Type 1 Diabetes Mellitus","Frexalimab; Placebo; Insulin","https://clinicaltrials.gov/study/NCT06111586"
"frexalimab","NCT06141473","ACTIVE_NOT_RECRUITING","PHASE3","Efficacy and Safety Studies of Frexalimab (SAR441344) in Adults With Relapsing Forms of Multiple Sclerosis","Multiple Sclerosis","Frexalimab; Teriflunomide; Placebo infusion; Placebo tablet; MRI contrast-enhancing agents; Cholestyramine; Activated charcoal","https://clinicaltrials.gov/study/NCT06141473"
"frexalimab","NCT06141486","ACTIVE_NOT_RECRUITING","PHASE3","Efficacy and Safety Study of Frexalimab (SAR441344) in Adults With Nonrelapsing Secondary Progressive Multiple Sclerosis","Multiple Sclerosis","Frexalimab; Placebo; MRI contrast-enhancing agents","https://clinicaltrials.gov/study/NCT06141486"
"frexalimab","NCT06500702","RECRUITING","PHASE2","A Study to Evaluate the Efficacy and Safety of Frexalimab, Brivekimig, or Rilzabrutinib in Participants Aged 16 to 75 Years With Primary Focal Segmental Glomerulosclerosis or Minimal Change Disease","Focal Segmental Glomerulosclerosis; Glomerulonephritis Minimal Lesion","frexalimab; brivekimig; rilzabrutinib; placebo","https://clinicaltrials.gov/study/NCT06500702"
"frexalimab","NCT07325292","RECRUITING","PHASE3","Non-inferiority Study of Frexalimab Subcutaneous Administration Compared to Intravenous Administration in Adult Participants With Multiple Sclerosis","Multiple Sclerosis","Frexalimab; Frexalimab; MRI contrast-enhancing preparations","https://clinicaltrials.gov/study/NCT07325292"
"frexalimab","NCT07412470","RECRUITING","PHASE2;PHASE3","A Study to Investigate the Efficacy and Safety of Frexalimab Versus Tacrolimus in Adults Undergoing Kidney Transplantation","Kidney Transplant Rejection","Frexalimab; Frexalimab; Tacrolimus; rabbit anti-thymocyte globulin; mycophenolate mofetil; mycophenolate sodium; methylprednisolone; prednisone","https://clinicaltrials.gov/study/NCT07412470"
"guselkumab","NCT01484587","COMPLETED","PHASE1","A Study of the Safety, Tolerability, Pharmacokinetics (What the Body Does to the Drug), and Pharmacodynamics (What the Drug Does to the Body) of CNTO 1959 Following a Single Subcutaneous (Under the Skin) Administration in Japanese Participants With Moderate to Severe Plaque Psoriasis","Psoriasis","CNTO 1959; Placebo","https://clinicaltrials.gov/study/NCT01484587"
"guselkumab","NCT03090100","COMPLETED","PHASE3","A Study to Evaluate the Comparative Efficacy of CNTO 1959 (Guselkumab) and Secukinumab for the Treatment of Moderate to Severe Plaque-type Psoriasis","Psoriasis","Guselkumab; Placebo; Secukinumab","https://clinicaltrials.gov/study/NCT03090100"
"guselkumab","NCT03158285","COMPLETED","PHASE3","A Study Evaluating the Efficacy and Safety of Guselkumab Administered Subcutaneously in Participants With Active Psoriatic Arthritis","Arthritis, Psoriatic","Guselkumab; Placebo","https://clinicaltrials.gov/study/NCT03158285"
"guselkumab","NCT03628924","COMPLETED","PHASE2","A Study to Evaluate the Efficacy, Safety, and Tolerability of Guselkumab for the Treatment of Participants With Moderate to Severe Hidradenitis Suppurativa (HS)","Hidradenitis Suppurativa","Guselkumab dose 1; Guselkumab dose 2; Guselkumab dose 3; Placebo","https://clinicaltrials.gov/study/NCT03628924"
"guselkumab","NCT04683029","COMPLETED","PHASE2","A Study of Guselkumab in Participants With Systemic Sclerosis","Scleroderma, Systemic","Guselkumab Dose 1; Guselkumab Dose 2; Placebo","https://clinicaltrials.gov/study/NCT04683029"
"guselkumab","NCT04736966","COMPLETED","PHASE1","Guselkumab (Anti-IL 23 Monoclonal Antibody) for Alcohol Associated Liver Disease","Alcoholic Liver Disease","Guselkumab 30mg; Guselkumab 70mg; Guselkumab 100mg","https://clinicaltrials.gov/study/NCT04736966"
"guselkumab","NCT06408935","ACTIVE_NOT_RECRUITING","PHASE3","Transmural Healing and Disease-Modifying Effect of Guselkumab in Crohn's Disease Patients","Crohn's Disease","Guselkumab","https://clinicaltrials.gov/study/NCT06408935"
"guselkumab","NCT06586281","RECRUITING","NA","Elucidating Shared Mechanisms Contributing to NAFLD and PsA Disease Severity With Guselkumab Therapy","Psoriatic Arthritis","Guselkumab","https://clinicaltrials.gov/study/NCT06586281"
"guselkumab","NCT07532213","RECRUITING","","A Study to Assess Real-world Outcomes for Long-Term Use of Guselkumab","Inflammatory Bowel Disease; Colitis, Ulcerative; Crohn Disease","","https://clinicaltrials.gov/study/NCT07532213"
"guselkumab","NCT07606339","NOT_YET_RECRUITING","","A Study of Guselkumab in Participants With Crohn's Disease and Ulcerative Colitis","Crohn Disease; Colitis, Ulcerative","","https://clinicaltrials.gov/study/NCT07606339"
"ibalizumab","NCT00089700","UNKNOWN","PHASE2","TNX-355 With Optimized Background Therapy (OBT) in Treatment-Experienced Subjects With HIV-1","HIV Infections","TNX-355","https://clinicaltrials.gov/study/NCT00089700"
"ibalizumab","NCT00784147","COMPLETED","PHASE2","Dose-Response Study of Ibalizumab (Monoclonal Antibody) Plus Optimized Background Regimen in Patients With HIV-1","HIV","Ibalizumab; Ibalizumab","https://clinicaltrials.gov/study/NCT00784147"
"ibalizumab","NCT01292174","COMPLETED","PHASE1","Safety Study of Ibalizumab Subcutaneous Injection in Healthy Volunteers","Prevention of Infection With HIV-1","ibalizumab (biologic/MAb) for SC Injection or placebo; ibalizumab (biologic/MAb) for SC Injection or placebo; ibalizumab (biologic/MAb) for SC Injection or placebo","https://clinicaltrials.gov/study/NCT01292174"
"ibalizumab","NCT02028819","NO_LONGER_AVAILABLE","","Compassionate Use of Ibalizumab for the Treatment of HIV Infection","Human Immunodeficiency Virus (HIV)","Dolutegravir Sodium Monohydrate; Ibalizumab","https://clinicaltrials.gov/study/NCT02028819"
"ibalizumab","NCT02475629","COMPLETED","PHASE3","Ibalizumab Plus Optimized Background Regimen in Patient With Multi-Drug Resistant HIV","HIV","ibalizumab; Optimized Background Regimen (OBR)","https://clinicaltrials.gov/study/NCT02475629"
"ibalizumab","NCT02707861","COMPLETED","PHASE3","Ibalizumab Plus Optimized Background Regimen in Treatment-Experienced Patients With Multi-Drug Resistant HIV-1","HIV","ibalizumab; Optimized Background Regimen","https://clinicaltrials.gov/study/NCT02707861"
"ibalizumab","NCT03913195","COMPLETED","PHASE3","Study of the Safety of Trogarzoâ¢ Administered as an Undiluted ""IV Push"" or an Intramuscular Injection","HIV-1-infection","ibalizumab-uiyk","https://clinicaltrials.gov/study/NCT03913195"
"ibalizumab","NCT05890963","ACTIVE_NOT_RECRUITING","PHASE1","10E8.4/iMab Bispecific Antibody and VRC07-523LS Monoclonal Antibody in HIV-infected Adults","HIV-1-infection","ART; 10E8.4/iMab; VRC07-523LS","https://clinicaltrials.gov/study/NCT05890963"
"ibalizumab","NCT06071624","RECRUITING","PHASE1","Chimeric Antigen Receptor T Cell Therapy Redirected to CD4 (CD4CAR)as a Second Line Treatment for Chronic Myelomonocytic Leukemia, CMML.","Chronic Myelomonocytic Leukemia","CD4CAR","https://clinicaltrials.gov/study/NCT06071624"
"ibalizumab","NCT07412977","NOT_YET_RECRUITING","","""Pregnancy and Viral Infections: Impact on Pregnant Women and Their Children. French Prospective Cohort""","HIV Infection; HBV Infection; HDV Infection; HCV Infection; Arbovirus Infections","Blood sampling; Umbilical cord blood sampling; Survey using a questionnaire; Breast milk sampling; Amniotic fluid sampling; Urine sampling; Vaginal swab; Placenta sampling","https://clinicaltrials.gov/study/NCT07412977"
"iscalimab","NCT02089087","COMPLETED","PHASE1","Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Single Dose CFZ533 in Rheumatoid Arthritis Patients","Rheumatoid Arthritis","CFZ533; Placebo","https://clinicaltrials.gov/study/NCT02089087"
"iscalimab","NCT02217410","COMPLETED","PHASE1;PHASE2","CCFZ533X2201 - PoC Study in de Novo Renal Transplantation","Kidney Transplantation","CFZ533; Tacrolimus (Tac); Mycophenolate mofetil (MMF); Corticosteroids (CS); anti-IL2 Induction","https://clinicaltrials.gov/study/NCT02217410"
"iscalimab","NCT02565576","COMPLETED","PHASE2","Safety,Tolerability,Pharmacokinetics and Efficacy of CFZ533 in Moderate to Severe Myasthenia Gravis","Myasthenia Gravis, Generalized","Placebo; CFZ533","https://clinicaltrials.gov/study/NCT02565576"
"iscalimab","NCT03610516","COMPLETED","PHASE2","Safety, Pharmacokinetics and Preliminary Efficacy Study of CFZ533 in Patients With Lupus Nephritis.","Lupus Nephritis","CFZ533; Placebo","https://clinicaltrials.gov/study/NCT03610516"
"iscalimab","NCT03656562","COMPLETED","PHASE2","Study the Efficacy and Safety of VAY736 and CFZ533 in SLE Patients","Systemic Lupus Erythematosus (SLE)","VAY736; VAY736 Placebo; CFZ533; CFZ533 Placebo","https://clinicaltrials.gov/study/NCT03656562"
"iscalimab","NCT03781414","TERMINATED","PHASE2","Study of Efficacy, Safety, Tolerability, Pharmacokinetic (PK) and Pharmacodynamic (PD) of an Anti-CD40 Monoclonal Antibody, CFZ533, in Liver Transplant Recipients With Additional 12-month Follow-up and Long-term Extension","Liver Transplant Rejection","CFZ533; Tacrolimus - MMF - corticosteroids","https://clinicaltrials.gov/study/NCT03781414"
"iscalimab","NCT03827798","ACTIVE_NOT_RECRUITING","PHASE2","Study of Efficacy and Safety of Investigational Treatments in Patients With Moderate to Severe Hidradenitis Suppurativa","Hidradenitis Suppurativa","CFZ533; Placebo to CFZ533; LYS006; Placebo to LYS006; MAS825; Placebo to MAS825; LOU064 25mg; LOU064 100mg; Placebo to LOU064; VAY736; Placebo to VAY736","https://clinicaltrials.gov/study/NCT03827798"
"iscalimab","NCT03905525","COMPLETED","PHASE2","Study of Safety and Efficacy of Multiple Doses of CFZ533 in Two Distinct Populations of Patients With Sjogren's Syndrome","SjÃ¶gren Syndrome","CFZ533; Placebo","https://clinicaltrials.gov/study/NCT03905525"
"iscalimab","NCT04129528","COMPLETED","PHASE2","Study of Safety and Efficacy of CFZ533 in Type 1 Diabetes Pediatric and Young Adult Subjects","Type 1 Diabetes Mellitus","CFZ533; Placebo","https://clinicaltrials.gov/study/NCT04129528"
"iscalimab","NCT04541589","COMPLETED","PHASE2","Study of Safety and Tolerability of CFZ533 in Patients With SjÃ¶gren's Syndrome","Sjogren's Syndrome","Iscalimab; Placebo","https://clinicaltrials.gov/study/NCT04541589"
"itolizumab","NCT03763318","COMPLETED","PHASE1;PHASE2","A Study to Evaluate the Safety, Tolerability, PK, PD, and Clinical Activity of EQ001 in Subjects With aGVHD","Acute-graft-versus-host Disease; aGVHD; GVHD; GVHD, Acute","EQ001; EQ001 Placebo","https://clinicaltrials.gov/study/NCT03763318"
"itolizumab","NCT04007198","COMPLETED","PHASE1","A Study of Itolizumab (EQ001) to Evaluate the Safety, Tolerability, PK, PD, and Clinical Activity in Uncontrolled Asthma","Asthma","EQ001; EQ001 Placebo","https://clinicaltrials.gov/study/NCT04007198"
"itolizumab","NCT04128579","COMPLETED","PHASE1","Study of EQ001 (Itolizumab) in Systemic Lupus Erythematosus With or Without Active Proliferative Nephritis","Lupus Erythematosus; Lupus Nephritis","Itolizumab [Bmab 600]","https://clinicaltrials.gov/study/NCT04128579"
"itolizumab","NCT04475588","COMPLETED","PHASE2","Efficacy and Safety of Itolizumab in COVID-19 Complications","Acute Respiratory Distress Syndrome; Cytokine Release Syndrome; Covid19","Itolizumab IV infusion; Best supportive care (BSC)","https://clinicaltrials.gov/study/NCT04475588"
"itolizumab","NCT04605926","WITHDRAWN","PHASE3","A Study to Evaluate the Efficacy and Safety of Itolizumab in Subjects Hospitalized With COVID-19","Coronavirus","EQ001; EQ001 Placebo","https://clinicaltrials.gov/study/NCT04605926"
"itolizumab","NCT05263999","TERMINATED","PHASE3","A Study of Itolizumab in Combination With Corticosteroids for the First-Line Treatment of Acute Graft Versus Host Disease (EQUATOR)","Graft Versus Host Disease; GVHD; Acute-graft-versus-host Disease; Acute GVHD; aGVHD","Itolizumab; EQ001 Placebo","https://clinicaltrials.gov/study/NCT05263999"
"itolizumab","NCT05823675","UNKNOWN","PHASE1","Safety and Clinical Activity of Itolizumab in aGVHD","Acute Graft Versus Host Disease","Itolizumab; Methylprednisolone","https://clinicaltrials.gov/study/NCT05823675"
"itolizumab","NCT05978544","UNKNOWN","PHASE1","Safety and Preliminary Clinical Activity of Itolizumab in ARDS","Acute Respiratory Distress Syndrome","Itolizumab","https://clinicaltrials.gov/study/NCT05978544"
"itolizumab","NCT05986162","UNKNOWN","PHASE1","Safety and Preliminary Clinical Activity of Itolizumab in Dermatomyositis","Dermatomyositis, Adult Type","Itolizumab","https://clinicaltrials.gov/study/NCT05986162"
"ixekizumab","NCT00966875","COMPLETED","PHASE2","A Study in Patients With Rheumatoid Arthritis","Rheumatoid Arthritis","LY2439821; Placebo","https://clinicaltrials.gov/study/NCT00966875"
"ixekizumab","NCT02696798","COMPLETED","PHASE3","A Study of Ixekizumab (LY2439821) in TNF Inhibitor Experienced Participants With Radiographic Axial Spondyloarthritis","Spondyloarthritis","Ixekizumab; Placebo","https://clinicaltrials.gov/study/NCT02696798"
"ixekizumab","NCT03073200","COMPLETED","PHASE3","Study of Ixekizumab (LY2439821) in Children 6 to Less Than 18 Years With Moderate-to-Severe Plaque Psoriasis","Plaque Psoriasis","Ixekizumab; Placebo; Etanercept","https://clinicaltrials.gov/study/NCT03073200"
"ixekizumab","NCT03129100","COMPLETED","PHASE3","A Long Term Extension Study of Ixekizumab (LY2439821) in Participants With Axial Spondyloarthritis","Axial Spondyloarthritis","Ixekizumab; Placebo","https://clinicaltrials.gov/study/NCT03129100"
"ixekizumab","NCT03364309","COMPLETED","PHASE3","A Study of Ixekizumab (LY2439821) in Chinese Participants With Moderate-to-Severe Plaque Psoriasis","Plaque Psoriasis","Ixekizumab; Placebo","https://clinicaltrials.gov/study/NCT03364309"
"ixekizumab","NCT03485976","COMPLETED","PHASE2","Ixekizumab in the Treatment of Pityriasis Rubra Pilaris (PRP)","Pityriasis Rubra Pilaris","Ixekizumab","https://clinicaltrials.gov/study/NCT03485976"
"ixekizumab","NCT03573323","COMPLETED","PHASE4","A Study of Ixekizumab (LY2439821) Compared to Guselkumab in Participants With Moderate-to-Severe Plaque Psoriasis","Plaque Psoriasis","Ixekizumab; Guselkumab; Placebo","https://clinicaltrials.gov/study/NCT03573323"
"ixekizumab","NCT04724629","COMPLETED","PHASE3","Survival TRial Using CytoKines in COVID-19 (STRUCK Trial)","Covid19","Ixekizumab; Aldesleukin; Colchicine; Standard of care (SOC)","https://clinicaltrials.gov/study/NCT04724629"
"ixekizumab","NCT06085079","UNKNOWN","PHASE4","Ixekizumab for the Management of Refractory Non-Infectious Uveitis: A Proof-of-Concept Study","Uveitis, Posterior; Uveitis, Anterior; Uveitis, Intermediate; Panuveitis","Ixekizumab Prefilled Syringe","https://clinicaltrials.gov/study/NCT06085079"
"ixekizumab","NCT06786936","RECRUITING","","Evaluating the Role of IL-17 as an Orchestrator of Peripheral-central Cross Talk in Depressive Symptoms","Psoriatic Arthritis; Depression; Psoriatic Plaque","Secukinumab; Bimekizumab; Ixekizumab; Placebo","https://clinicaltrials.gov/study/NCT06786936"
"low dose interleukin-2 autoimmune","NCT01165203","COMPLETED","PHASE2","Study to Evaluate GSK Biologicals' Herpes Zoster Vaccine GSK1437173A in Human Immunodeficiency Virus (HIV)-Infected Subjects","Herpes Zoster","Herpes Zoster Vaccine GSK1437173A; Placebo","https://clinicaltrials.gov/study/NCT01165203"
"low dose interleukin-2 autoimmune","NCT02084238","COMPLETED","NA","Low-dose IL-2( Interleukin-2) Treatment in SLE","Systemic Lupus Erythematosus","Interleukin-2","https://clinicaltrials.gov/study/NCT02084238"
"low dose interleukin-2 autoimmune","NCT02424396","COMPLETED","PHASE2","Biological Activity and Safety of Low Dose IL2 in Relapsing Remitting Multiple Sclerosis","Relapsing Remitting Multiple Sclerosis","IL2; Placebo","https://clinicaltrials.gov/study/NCT02424396"
"low dose interleukin-2 autoimmune","NCT03243058","WITHDRAWN","PHASE1;PHASE2","Low-dose IL-2 in Established T1D - The ""PROREG"" Study","Diabetes Mellitus, Type 1; Diabetes; Diabetes, Autoimmune","ILT-101 (Aldesleukin; IL-2); Treatment-Placebo Arm; Placebo Arm","https://clinicaltrials.gov/study/NCT03243058"
"low dose interleukin-2 autoimmune","NCT03312335","COMPLETED","PHASE2","Low-dose Interleukin-2 for Treatment of Systemic Lupus Erythematosus","Lupus Erythematosus, Systemic","Low-dose Aldesleukin (ProleukinÂ®)","https://clinicaltrials.gov/study/NCT03312335"
"low dose interleukin-2 autoimmune","NCT04058028","COMPLETED","PHASE2","Efficacy and Safety of AMG 570 in Subjects With Active Systemic Lupus Erythematosus (SLE)","Systemic Lupus Erythematosus (SLE)","Rozibafusp Alfa; Placebo for Rozibafusp Alfa","https://clinicaltrials.gov/study/NCT04058028"
