target_contrast_gene_name,max_de,mean_de,conditions_with_gt10,max_cells,any_offtarget,ontarget_sig_conditions,target_class
SLC6A6,25,12.333333333333334,1,1238.0,False,3,transporter
GAS6,25,9.333333333333334,1,552.0,False,0,cytokine
MTCH1,24,12.333333333333334,1,655.0,False,3,transporter
LIMK2,24,9.333333333333334,1,699.0,False,3,kinase
AKT2,23,12.333333333333334,1,531.0,False,3,kinase
STK10,23,11.666666666666666,1,472.0,False,3,kinase
SLC10A7,23,11.333333333333334,1,206.0,False,3,transporter
CATSPER2,22,11.0,1,508.0,False,0,ion_channel
SLC39A7,22,10.666666666666666,1,200.0,False,2,transporter
SLC27A5,22,9.666666666666666,1,860.0,False,3,transporter
SLC38A10,22,9.0,1,1092.0,False,3,transporter
MATK,21,11.0,1,627.0,False,2,kinase
SLC25A37,21,9.333333333333334,1,798.0,False,3,transporter
DYRK3,21,9.0,1,846.0,False,3,kinase
BTK,21,8.666666666666666,1,306.0,False,0,kinase
PRKX,20,8.333333333333334,1,278.0,False,2,kinase
ADORA2A,19,10.333333333333334,1,854.0,False,2,gpcr
TBXA2R,18,8.0,1,424.0,False,2,gpcr
SLC15A4,17,9.0,1,287.0,False,3,transporter
GRM2,17,8.0,1,303.0,False,0,gpcr
CACNB2,17,6.666666666666667,1,243.0,False,0,ion_channel
SLC11A2,16,9.666666666666666,1,299.0,False,3,transporter
PDK3,16,9.0,1,914.0,False,3,kinase
CDKL5,16,8.666666666666666,1,982.0,False,0,kinase
CCR2,16,8.333333333333334,1,736.0,False,3,gpcr;cytokine_receptor
TNFRSF4,16,7.666666666666667,1,632.0,True,3,cytokine_receptor
KISS1R,16,7.0,1,827.0,False,0,gpcr
SLC30A6,16,6.0,1,818.0,False,3,transporter
SLC9A1,15,10.333333333333334,1,316.0,False,3,transporter
ABCD2,15,8.333333333333334,1,471.0,False,2,transporter
NR2F6,15,7.666666666666667,1,548.0,False,0,nuclear_receptor
SLC35A1,14,9.666666666666666,1,327.0,False,3,transporter
ALPK1,14,9.333333333333334,1,857.0,False,1,kinase
NMUR1,14,9.333333333333334,1,635.0,False,0,gpcr
KCNH4,14,8.0,1,164.0,False,0,ion_channel
SLC35B4,14,8.0,1,460.0,False,3,transporter
SLC35E1,13,8.0,1,399.0,False,3,transporter
SLC9B2,13,8.0,1,328.0,False,3,transporter
KCNK6,13,7.0,1,391.0,True,3,ion_channel
TNFRSF10D,13,6.666666666666667,1,911.0,False,2,cytokine_receptor
SLC23A2,13,5.333333333333333,1,157.0,False,2,transporter
CCL2,13,5.0,1,324.0,False,0,cytokine
PMCH,13,4.666666666666667,1,663.0,False,2,cytokine
CCL3L3,12,10.333333333333334,1,1369.0,False,0,cytokine
XCL1,12,9.333333333333334,1,1188.0,False,1,cytokine
OPRL1,12,6.666666666666667,1,724.0,False,0,gpcr
PTGDR,12,5.333333333333333,1,636.0,False,0,gpcr
DAPK1,12,4.333333333333333,1,729.0,False,1,kinase
GALR2,12,4.333333333333333,1,326.0,False,0,gpcr
CACNB4,11,9.666666666666666,1,719.0,False,0,ion_channel
GPR107,11,9.333333333333334,1,600.0,False,3,gpcr
ACVR1,11,7.666666666666667,1,288.0,False,3,kinase
MKNK2,11,6.666666666666667,1,615.0,False,3,kinase
OPN3,11,6.666666666666667,1,832.0,True,3,gpcr
SLC39A1,11,6.666666666666667,1,1520.0,False,3,transporter
SLC16A13,11,5.666666666666667,1,371.0,False,3,transporter
PDGFB,11,5.333333333333333,1,422.0,False,0,cytokine
ATP6V0E1,11,5.0,1,487.0,False,3,transporter
ATP7A,11,5.0,1,658.0,False,3,transporter
SLC25A15,11,5.0,1,398.0,False,3,transporter
SLC30A7,11,4.666666666666667,1,729.0,True,3,transporter
IL6ST,11,4.333333333333333,1,377.0,False,3,cytokine_receptor
RELL1,11,4.333333333333333,1,510.0,False,3,cytokine_receptor
RYR2,11,3.6666666666666665,1,599.0,False,0,ion_channel
PEAK1,10,8.0,0,1030.0,True,3,kinase
SLC12A9,10,7.666666666666667,0,808.0,False,0,transporter
SLC35C1,10,7.666666666666667,0,426.0,False,3,transporter
ADGRG1,10,7.333333333333333,0,348.0,False,3,gpcr
SLC2A11,10,7.333333333333333,0,459.0,False,3,transporter
ILK,10,6.666666666666667,0,411.0,True,3,kinase
MKNK1,10,6.0,0,293.0,False,3,kinase
STK24,10,5.666666666666667,0,950.0,False,0,kinase
LTB4R2,10,5.333333333333333,0,641.0,False,0,gpcr
SLC7A7,10,5.333333333333333,0,988.0,False,0,transporter
SLC35B2,10,5.0,0,668.0,False,3,transporter
DDR1,10,4.666666666666667,0,276.0,False,0,kinase
IL4,10,4.666666666666667,0,844.0,False,1,cytokine
LPAR2,10,4.666666666666667,0,476.0,False,2,gpcr
LTA,10,4.666666666666667,0,190.0,False,2,cytokine
ABL2,10,4.333333333333333,0,1017.0,False,3,kinase
CSF2,10,4.0,0,798.0,False,2,cytokine
CDK10,10,3.6666666666666665,0,1109.0,False,0,kinase
RIOK3,9,8.0,0,783.0,False,3,kinase
CD70,9,7.666666666666667,0,2160.0,False,3,cytokine
ATP8B2,9,7.333333333333333,0,192.0,False,3,transporter
MFSD5,9,7.333333333333333,0,510.0,False,3,transporter
SLC29A1,9,6.666666666666667,0,813.0,False,3,transporter
TXNRD2,9,6.666666666666667,0,711.0,True,3,gpcr
MARK3,9,6.333333333333333,0,584.0,False,3,kinase
VRK3,9,6.333333333333333,0,1434.0,True,3,kinase
PKD2,9,5.666666666666667,0,785.0,False,3,ion_channel
FAS,9,5.0,0,926.0,True,3,cytokine_receptor
FLT3LG,9,5.0,0,812.0,False,3,cytokine
HNF4G,9,5.0,0,304.0,False,0,nuclear_receptor
IL31,9,5.0,0,424.0,False,0,cytokine
OXSR1,9,5.0,0,705.0,False,3,kinase
SLC52A2,9,5.0,0,1133.0,True,3,gpcr;transporter
BMPR2,9,4.5,0,118.0,False,0,kinase
SLC38A1,9,4.333333333333333,0,415.0,False,3,transporter
FXYD2,9,4.0,0,1574.0,False,0,transporter
HIPK2,9,4.0,0,582.0,False,3,kinase
SLC7A5,9,4.0,0,801.0,False,3,transporter
TNFRSF14,9,3.6666666666666665,0,705.0,False,3,cytokine_receptor
TNFRSF1B,9,3.6666666666666665,0,119.0,False,2,cytokine_receptor
PF4V1,9,3.0,0,1112.0,False,0,cytokine
