target_contrast_gene_name,culture_condition,n_cells_target,n_total_de_genes,ontarget_effect_size,offtarget_flag,crossdonor_correlation_mean,crossguide_correlation,has_crossdonor,has_crossguide,low_crossdonor,low_crossguide,low_cells
ARNT,Rest,1001.0,2320,-17.67732833735752,False,0.7906346406857209,0.8420601284143232,True,True,False,False,False
ARNT,Stim48hr,795.0,2947,-19.14767371704712,False,0.7795996739351114,0.881332895629096,True,True,False,False,False
ARNT,Stim8hr,844.0,2643,-14.1844449860405,False,0.7339685531481474,0.8636618495465386,True,True,False,False,False
ARPC1B,Stim48hr,372.0,65,-27.14788361533128,False,0.482192036360072,0.4802700292485063,True,True,False,False,False
ARPC2,Rest,208.0,216,-16.686984176214143,False,0.1862983668477483,0.5427631571973688,True,True,True,False,False
ARPC2,Stim48hr,142.0,856,-15.341082513738767,False,0.5404930298807936,0.4136531311176064,True,True,False,False,True
ARPC2,Stim8hr,250.0,1039,-18.0333091589308,False,0.425295376509534,0.3488512801205556,True,True,False,False,False
ARPC3,Rest,243.0,148,-12.912890195305932,False,0.3661712448478969,0.6909540147685717,True,True,False,False,False
ARPC3,Stim48hr,176.0,720,-10.49251965818478,False,0.3749905304968109,0.4192534600881386,True,True,False,False,True
ARPC3,Stim8hr,235.0,906,-11.771401813390504,False,0.2987038639658289,0.4950005640624167,True,True,False,False,False
ARPC4-TTLL3,Rest,1523.0,289,0.0,False,0.7060106492573195,0.956549731052803,True,True,False,False,False
ARPC4-TTLL3,Stim48hr,1290.0,65,0.0,False,0.5115117672800812,0.7939508648282895,True,True,False,False,False
ARPC4-TTLL3,Stim8hr,1295.0,645,0.0,False,0.4948517954241015,0.8937460343540581,True,True,False,False,False
ARRDC4,Rest,124.0,458,-0.4483404411956649,False,0.3782454435525088,,True,False,False,False,True
ARRDC4,Stim48hr,120.0,1278,-0.8809071158294652,False,0.567859076746443,,True,False,False,False,True
ARRDC4,Stim8hr,105.0,621,-0.5439348242983211,False,0.5260098426191483,,True,False,False,False,True
ARSK,Stim8hr,498.0,85,-4.241639668889425,True,0.6312762875529674,0.7661703484626872,True,True,False,False,False
ASH2L,Stim48hr,30.0,112,-0.9502014550974532,False,,,False,False,False,False,True
ASH2L,Stim8hr,27.0,589,-0.9228372823951028,False,,,False,False,False,False,True
ASXL1,Rest,950.0,275,-30.36446836305453,False,0.7758646480841308,,True,False,False,False,False
ATAD3A,Stim48hr,390.0,720,-6.05311898885792,False,0.4831352359085836,0.4694764697703943,True,True,False,False,False
ATAD5,Rest,1342.0,3791,-17.287463804270306,True,0.733112464468984,0.8525651521751353,True,True,False,False,False
ATAD5,Stim48hr,1182.0,3475,-30.07225805637422,True,0.656228403539964,0.836717502899415,True,True,False,False,False
ATAD5,Stim8hr,1299.0,3597,-21.41009282390739,True,0.6466891892806967,0.8130862600018529,True,True,False,False,False
ATF4,Rest,242.0,86,-10.247561774322657,False,0.5638439935683435,0.6872661309962393,True,True,False,False,False
ATF4,Stim48hr,155.0,393,-12.4229267819471,False,0.5064704433889318,0.4848603801913542,True,True,False,False,True
ATF4,Stim8hr,175.0,1062,-8.996019991844117,False,0.4916918579168355,0.5942907381958562,True,True,False,False,True
ATF7IP,Stim48hr,3791.0,74,-8.012345524354819,False,0.5416282880367193,,True,False,False,False,False
ATF7IP2,Rest,2417.0,854,-16.553632031478614,False,0.2468876814600948,-0.2206907711471407,True,True,False,True,False
ATF7IP2,Stim48hr,2205.0,1380,-16.182922866531978,False,0.4158749464747546,-0.2928808845568052,True,True,False,True,False
