variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
CDK18,160.04675766514114,5.594220630641259,0.5793015414670587,9.656837122294052,4.598420630540288e-22,4.1739182815913375e-20,Treg
STRIP2,3865.042876421033,2.8488043321706766,0.2958202204342017,9.630187983732933,5.962030838324959e-22,5.361998927348585e-20,Treg
DUSP4,7471.1998006238855,1.6077403843048328,0.1670400136207286,9.62488178404532,6.277906978684564e-22,5.594756555640435e-20,Treg
FBXO32,1022.2114701444523,1.4490988597018013,0.1510724916810929,9.592076251451406,8.632998492286897e-22,7.62425983962959e-20,Treg
LDLRAD4,2795.1069940735474,2.9864276258352693,0.3114142611937206,9.589887163123562,8.818139728789136e-22,7.691449374535095e-20,Treg
SKIL,1521.345359004993,2.713821011828756,0.28300427480968665,9.589328690012664,8.865997952896723e-22,7.691449374535095e-20,Treg
ADTRP,469.37951209720967,4.148314261747567,0.4346966660015319,9.543009151427325,1.3874679975425477e-21,1.1931007701675084e-19,Treg
RSAD2,4970.942575677014,2.7107967638827253,0.2849993960690434,9.51158774815794,1.8777432719608644e-21,1.6006536778289004e-19,Treg
IER5,6070.063175150219,0.7766759728545919,0.08168476654168924,9.508210719537306,1.9397003959129426e-21,1.6392140500978082e-19,Treg
MAST4,2312.250143361437,1.0371811841623593,0.1091665015809198,9.50091071108977,2.0806260206026507e-21,1.7432800752109218e-19,Treg
ROPN1L,503.4897390558428,-4.530506961463091,0.4773413624424003,-9.491125885848154,2.2855219714543674e-21,1.8987264310311155e-19,Treg
UBTD2,1734.042132528248,-1.2026939413759352,0.1267963665294366,-9.48523979270906,2.4182642895067802e-21,1.9921214142886526e-19,Treg
TNS2,34.388854682649296,4.494412146634439,0.47469213049757053,9.46805699501151,2.8509727537531165e-21,2.329007158753483e-19,Treg
IGF2BP3,437.4325370544489,-3.092344167112517,0.32698573458575814,-9.457122559276334,3.165336596900998e-21,2.5644458396215274e-19,Treg
DIXDC1,477.563190706434,2.527308055131483,0.2674050999414531,9.451233561681596,3.3486079218827437e-21,2.6906888080505354e-19,Treg
AGRN,239.90536564826533,2.3828215645941007,0.2521823963581378,9.448802132921791,3.427302774321554e-21,2.731532446884081e-19,Treg
RHOQ,1177.4938008104295,-0.9571568027311244,0.10148340247891273,-9.431658570277166,4.036549085096044e-21,3.191152474290042e-19,Treg
CREG1,3200.2571575089933,-1.0405971188518424,0.11038235838563992,-9.42720498158171,4.211619220197133e-21,3.3029202572473996e-19,Treg
SLC31A2,264.1240785070355,1.6212774485915682,0.1731349430299557,9.364241673103828,7.659834944812802e-21,5.959473171746024e-19,Treg
RASGEF1B,91.08640903376356,3.2686614339094398,0.34912174360587483,9.362526092329118,7.785268857675901e-21,6.009369339511564e-19,Treg
PALLD,786.3241949535367,-1.6660590065046252,0.17800926378774073,-9.359394960990588,8.019459240337606e-21,6.141778041642934e-19,Treg
TRIM14,5672.579960060308,0.8675273899526519,0.09282869948497356,9.34546530077243,9.148631682692175e-21,6.952250882591581e-19,Treg
ARHGAP31,361.1038018934196,2.643498837639498,0.28328684591486275,9.331526951427735,1.043564862983606e-20,7.869281809098684e-19,Treg
LGALS9,2617.202902833772,1.4376965901556715,0.1547997081214466,9.28746318454128,1.5800931926866308e-20,1.1824163028936673e-18,Treg
CCR4,18746.937418938018,2.6649934833883004,0.28752640960299053,9.268691133687716,1.8844408497895412e-20,1.3994828523096115e-18,Treg
