,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
16557,SLC3A2,272.7231913065944,0.019921602195980073,0.18528156023234968,0.10752069537301863,0.9143759079592768,0.9994290447843712,cytotoxic_vs_rest,0.10752069537301863
16558,KLHL20,12.31738466567819,-0.0350148490113389,0.3257718506499552,-0.10748273351881062,0.9144060226210996,0.9994290447843712,cytotoxic_vs_rest,-0.10748273351881062
16559,TRMT12,4.764119647396149,-0.0644924511135979,0.6001686464478992,-0.1074572147267218,0.9144262664271978,0.9994290447843712,cytotoxic_vs_rest,-0.10745721472672182
16560,RP11-95P2.1,0.9737149558831462,-0.10011660243819161,0.9324694143674891,-0.10736717032815764,0.9144976982039963,0.9994290447843712,cytotoxic_vs_rest,-0.10736717032815764
16561,ZNF200,8.332697220328058,-0.04782876517121144,0.44567138583715954,-0.10731845635853146,0.9145363430434849,0.9994290447843712,cytotoxic_vs_rest,-0.10731845635853146
16562,ABCD2,2.2861943185361935,0.07989752088696926,0.74493593138922,0.10725421814191397,0.9145873035920644,0.9994290447843712,cytotoxic_vs_rest,0.10725421814191398
16563,BCL7A,0.9757550756994202,-0.10122801783394672,0.9444524631423171,-0.10718169710431781,0.9146448353723321,0.9994290447843712,cytotoxic_vs_rest,-0.10718169710431781
16565,SLC35B3,13.399871701367472,0.0419679479099937,0.3918753448717123,0.10709514762591836,0.91471349666269,0.9994290447843712,cytotoxic_vs_rest,0.10709514762591836
16566,H6PD,2.9475241347529098,0.060404356289352035,0.5644269715654567,0.10701890471643935,0.9147739820899576,0.9994290447843712,cytotoxic_vs_rest,0.10701890471643935
16568,COX6B1,440.8562477353952,-0.026346987344901037,0.24675282592634515,-0.10677481502386328,0.9149676279303786,0.9994290447843712,cytotoxic_vs_rest,-0.10677481502386327
16569,MLEC,44.593992146174664,-0.06343898538038156,0.5941432830424889,-0.10677388298580641,0.9149683673620754,0.9994290447843712,cytotoxic_vs_rest,-0.10677388298580641
16571,PMEPA1,12.563081114565042,0.04476580235944649,0.42034054504467794,0.10649889211779068,0.9151865343729839,0.9994290447843712,cytotoxic_vs_rest,0.10649889211779068
16572,LYRM9,12.33354235539804,-0.05061619622681307,0.4755613654514663,-0.10643462632579798,0.9152375212632012,0.9994290447843712,cytotoxic_vs_rest,-0.10643462632579798
