variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
CHDH,51.07141292167119,8.63986081761094,0.3541495273482664,24.396081740678433,1.8820431147049516e-131,7.897766787724796e-129,Th2_vs_Th1,24.396081740678436
CD2,3770.102879169649,-0.6399850895510828,0.02635971557182804,-24.278907251756056,3.274957168273348e-130,1.3510030935356783e-127,Th2_vs_Th1,-24.278907251756056
ARAP2,1458.627076105528,-1.171531423729614,0.048336326627469624,-24.23708017282038,9.049090517060702e-130,3.6707635682456736e-127,Th2_vs_Th1,-24.237080172820384
SLC22A23,131.22358485469542,2.2809616552785013,0.0941225891190882,24.233945077653193,9.764699772547868e-130,3.896115209246599e-127,Th2_vs_Th1,24.23394507765319
EPHA1-AS1,194.40326479348784,2.2459516028054454,0.09317993667700769,24.103381939297215,2.3037172846563064e-128,9.04357661149191e-126,Th2_vs_Th1,24.103381939297215
KLHL3,210.33679710448683,1.4523782069566624,0.060553291589720844,23.98512399288314,3.975952733157223e-127,1.536043072576407e-124,Th2_vs_Th1,23.985123992883143
SAMD3,988.5583423000903,-1.6574746784384884,0.06923943718991425,-23.938303742883747,1.223260647058872e-126,4.65202201386967e-124,Th2_vs_Th1,-23.938303742883747
S100PBP,475.54054710267195,-0.8376795939428797,0.03500054317528057,-23.933331255684568,1.3781575862857528e-126,5.16045807578599e-124,Th2_vs_Th1,-23.93333125568457
IL2,12.250515425554898,3.4337627306279384,0.14484418560902973,23.70659696272871,3.0828840402948456e-124,1.1368835554050945e-121,Th2_vs_Th1,23.706596962728714
TESPA1,2560.9944982654883,0.7847284047436796,0.033147455774424434,23.673865351353818,6.703714294977899e-124,2.43524928694727e-121,Th2_vs_Th1,23.673865351353815
GCNT4,120.17878089240261,2.1301243055306966,0.09004889478299738,23.655196553649393,1.0435737225795749e-123,3.7352265932153343e-121,Th2_vs_Th1,23.655196553649397
RASGRF2,470.7649807596033,-1.3357741500426943,0.05666600914694247,-23.572758522288993,7.336189582797941e-123,2.5877611341408565e-120,Th2_vs_Th1,-23.572758522288996
RFFL,845.0993632608304,0.66497944827131,0.02838524785138769,23.426938237525402,2.2718327403200967e-121,7.899162438092976e-119,Th2_vs_Th1,23.426938237525402
IL2RB,1182.9923083202473,-1.3591377622768135,0.058241608515694494,-23.336198929165285,1.9031223692697318e-120,6.523957090937465e-118,Th2_vs_Th1,-23.336198929165285
TRIB2,2097.2705876281843,0.9372276743449725,0.04026540195994913,23.276252780916145,7.71508177665058e-120,2.60801910224859e-117,Th2_vs_Th1,23.276252780916145
TNFSF10,1002.8435605066361,0.927729555766297,0.040036350338427874,23.172180978640284,8.688869322500248e-119,2.896964252607309e-116,Th2_vs_Th1,23.172180978640288
RCBTB2,636.1710447508634,1.3375690394491269,0.057780351699650144,23.149202109429627,1.480903999239988e-118,4.870773302365144e-116,Th2_vs_Th1,23.149202109429627
NOL11,1177.8088112995035,0.6045655791904855,0.02613637007448184,23.131199071165245,2.247956873787535e-118,7.295069646815309e-116,Th2_vs_Th1,23.131199071165245
CLIC3,33.6988790926604,-3.6185895830409525,0.1567977476093243,-23.078071198171763,7.689169503165218e-118,2.462456533388661e-115,Th2_vs_Th1,-23.078071198171763
HAVCR2,69.31858395616239,-2.711196929657833,0.11758800983772973,-23.056746460793562,1.258669403051975e-117,3.978539558556106e-115,Th2_vs_Th1,-23.05674646079356
ASAP1,530.3832965019394,0.9929624642347864,0.04321315665154299,22.97824415470771,7.693527518958406e-117,2.4006764908195984e-114,Th2_vs_Th1,22.978244154707713
IL12RB2,78.57469203379904,-3.9491475605965713,0.172576754404082,-22.883426995908096,6.794750466956772e-116,2.093385210319758e-113,Th2_vs_Th1,-22.883426995908096
WHRN,26.425730750077967,-3.4743915160459093,0.15207442783366792,-22.84665190288298,1.5777999562910216e-115,4.8002591420208967e-113,Th2_vs_Th1,-22.84665190288298
GALT,2115.765241580513,0.8980497198283448,0.03958675721513778,22.685609607976044,6.213989074908261e-114,1.867188643138175e-111,Th2_vs_Th1,22.685609607976048
FXYD2,13.478612917549476,-5.762732041603585,0.254356063228999,-22.656161478703755,1.2130369152852286e-113,3.600500668430144e-111,Th2_vs_Th1,-22.65616147870376
PACSIN1,15.465313955521937,-5.799017030559995,0.25608663890895755,-22.6447465407269,1.57173893003753e-113,4.608982387732945e-111,Th2_vs_Th1,-22.644746540726896
PI16,416.238414051881,2.543435701013627,0.11255375890719244,22.597518960791415,4.584145150838534e-113,1.3282560574554652e-110,Th2_vs_Th1,22.597518960791415
SPSB1,76.36637870621672,1.9996968384220577,0.08859343516053207,22.571614192390097,8.238301287327494e-113,2.3589648827325157e-110,Th2_vs_Th1,22.571614192390097
LINC02084,35.81515712980175,-4.710584301062238,0.20898352251891053,-22.540457947520654,1.6658680904417954e-112,4.7146004015421925e-110,Th2_vs_Th1,-22.540457947520654
SLC9A9,518.0944449279541,0.9493040215515549,0.042283164810662195,22.45111088071101,1.2481342164475698e-111,3.4917630682893565e-109,Th2_vs_Th1,22.45111088071101
CRTAM,49.70866338828749,-5.493662378464884,0.24499616301496513,-22.423462926353317,2.3238429955734513e-111,6.427274394234344e-109,Th2_vs_Th1,-22.423462926353317
CCR8,259.5398181224586,4.752676782191218,0.2124947071738805,22.366094880199487,8.419231433474591e-111,2.3024233017903152e-108,Th2_vs_Th1,22.366094880199487
PNMA1,770.7011147328559,0.6116240674899887,0.02736568099114069,22.35004009905672,1.206353971125052e-110,3.262383255912516e-108,Th2_vs_Th1,22.35004009905672
PTK2,132.1914248778226,2.740423340217588,0.12267797144390952,22.33834899585503,1.5672962492087133e-110,4.191914660383612e-108,Th2_vs_Th1,22.33834899585503
AC005842.1,222.98224079732444,2.1706331324564125,0.09728323564473115,22.3125096330405,2.79373571564332e-110,7.390949302504648e-108,Th2_vs_Th1,22.3125096330405
GSTK1,6215.646660760503,0.5367770768884086,0.024223905659684474,22.15898148009054,8.546180507495602e-109,2.236618143784252e-106,Th2_vs_Th1,22.158981480090535
VPS37B,239.62994705978116,-0.8724359857658179,0.03946485683587213,-22.10665528052303,2.727485912201522e-108,7.062157406071579e-106,Th2_vs_Th1,-22.10665528052303
RFPL2,40.906378444423666,3.102179552787576,0.14060698998345514,22.062769092437026,7.203544638654983e-108,1.8455481364234066e-105,Th2_vs_Th1,22.062769092437023
AC034238.1,23.406844646299504,-7.38052315320582,0.33515279870386816,-22.021368109556047,1.7975453609934442e-107,4.557339223043692e-105,Th2_vs_Th1,-22.021368109556047
SLK,1318.2490970251577,-0.5865526677741827,0.026688755665080225,-21.977520238668628,4.7257950766542143e-107,1.185784807945226e-104,Th2_vs_Th1,-21.977520238668628
APOBEC3C,986.3095630610212,-0.9396621470241733,0.0428346525719191,-21.93696202966714,1.1535413671032626e-106,2.8649023810128885e-104,Th2_vs_Th1,-21.93696202966714
STN1,813.3992985399163,-0.5792036616639221,0.02651051111912123,-21.848075997529904,8.107739957639068e-106,1.9932755841310835e-103,Th2_vs_Th1,-21.8480759975299
CNIH4,540.0664769143975,0.6622274350924998,0.030376283593741876,21.8008049947536,2.279723620066974e-105,5.548619318881008e-103,Th2_vs_Th1,21.8008049947536
STAM,425.06908533993646,1.1126287393249266,0.05131070696345963,21.684143625564804,2.895967037344649e-104,6.978707101181328e-102,Th2_vs_Th1,21.6841436255648
ANKRD13A,1443.9198953830205,0.5649373048417902,0.02606118511851632,21.677345150370982,3.3569316154266075e-104,8.010231234104726e-102,Th2_vs_Th1,21.677345150370982
