variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
APOBEC3H,3.0796734428821972,1.7857861489458986,0.13832016736374259,12.910526230421558,3.92608761427982e-38,1.611359518301455e-36,CytotoxicCD4,12.910526230421558
MMP23B,2.252432365952262,1.6322388342624612,0.1275417315255385,12.797684449937297,1.6891306357424679e-37,6.903341492743267e-36,CytotoxicCD4,12.797684449937295
TMEM123,180.04957917050407,-0.32177400725828503,0.025198072462913616,-12.7697865672809,2.4181662470979914e-37,9.84132700394586e-36,CytotoxicCD4,-12.7697865672809
ADTRP,21.45197622300208,-1.024937166937866,0.08052441932219909,-12.728277652482367,4.118236176252325e-37,1.6690056737732226e-35,CytotoxicCD4,-12.728277652482367
TRIB2,13.485557186102756,-0.6685646152297593,0.05256750464473157,-12.718210988863524,4.684631682285132e-37,1.8906392697755744e-35,CytotoxicCD4,-12.718210988863524
ANTKMT,19.389581824521397,0.6037785343073392,0.04751863129394611,12.706143208806202,5.466469405388492e-37,2.1970216871615324e-35,CytotoxicCD4,12.706143208806202
SLC15A4,2.8464258409863974,1.3110850854547311,0.10320014502744976,12.704294990147558,5.59715651971395e-37,2.2402503326425337e-35,CytotoxicCD4,12.704294990147556
TLE1,2.3205652200533518,1.4663366296749807,0.11542388249819142,12.703927453644239,5.6235127419539325e-37,2.2415368073483865e-35,CytotoxicCD4,12.703927453644237
TRABD2A,46.348358840813326,-0.5546890564102309,0.043710700977529646,-12.690005971200963,6.718066257002356e-37,2.6668520395624925e-35,CytotoxicCD4,-12.690005971200963
FCER1G,11.425838741614276,0.8936871197127827,0.07049127718372471,12.677981665497764,7.8322758780346e-37,3.0964662920262505e-35,CytotoxicCD4,12.677981665497764
CALM1,374.1410846233001,0.1988571303739244,0.01570158695891531,12.664779101262372,9.26808864250584e-37,3.649215715093966e-35,CytotoxicCD4,12.664779101262372
ATP8A1,8.381451884568122,0.8384899402098538,0.06645349610275043,12.61769492026996,1.686868416054564e-36,6.614982784576724e-35,CytotoxicCD4,12.61769492026996
EVI2B,92.39017600084269,-0.2766330765269583,0.02197733130800141,-12.587200540870171,2.483249017043227e-36,9.69868950769383e-35,CytotoxicCD4,-12.587200540870171
AGPAT4,6.063437892278432,1.0301968745438828,0.08185758433141574,12.585234257255113,2.545864239351645e-36,9.90330964753415e-35,CytotoxicCD4,12.585234257255113
CLIC1,109.88420810076005,0.48238125789477276,0.03839685597154459,12.56304053259619,3.3712395539727406e-36,1.3061530527911986e-34,CytotoxicCD4,12.56304053259619
