variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
MAOA,833.0940127955259,4.048399628974752,0.649118522350561,6.236764919778989,4.4671250696802743e-10,3.1507191507088685e-08,Th2
GAMT,1181.2711869806983,1.0586537354102723,0.16995030576174536,6.229195826775428,4.688354654428608e-10,3.2654902052435104e-08,Th2
ELOVL6,851.8651178040722,-1.1815905642183786,0.18969995217285607,-6.228734117664427,4.702190149331595e-10,3.2654902052435104e-08,Th2
PRSS23,625.632845174436,-2.0831059717235907,0.33486686982495883,-6.220698908830452,4.949451598639732e-10,3.410965575001489e-08,Th2
UBXN10,215.46128469950932,-1.8947404522694786,0.3052521393470826,-6.207132426073159,5.396012722498606e-10,3.690545671114956e-08,Th2
GDPGP1,412.6553211921855,0.8140516601601143,0.13117759678047147,6.205721709648693,5.44464521570331e-10,3.695808797546578e-08,Th2
WFDC1,26.180740666015353,5.353000534911662,0.8661163749859054,6.180463375950805,6.39137229204966e-10,4.306067839748084e-08,Th2
ACKR3,181.54543398618156,-1.6958107477290574,0.2746419698946562,-6.174623450230552,6.632134354331236e-10,4.435178440807585e-08,Th2
AMN1,360.2483337139137,-0.6670673545502833,0.10807642036803408,-6.172182167754168,6.735383109799734e-10,4.471105787887647e-08,Th2
MT1G,324.50078515434143,2.5474257330263494,0.41308100574968093,6.166891475445956,6.964552085335225e-10,4.589487315796089e-08,Th2
PMCH,146.73173085442374,1.8073602180349173,0.29418845427751894,6.1435457162094025,8.069943150494621e-10,5.279380200193148e-08,Th2
SLC2A13,221.91318733274764,-1.2045045002675117,0.1972628408750886,-6.106089190058008,1.0210196641313908e-09,6.625067299013162e-08,Th2
SEPTIN11,3828.7302212869254,-1.2289865587167441,0.20130493497389815,-6.105099007513643,1.0273697628066492e-09,6.625067299013162e-08,Th2
ANKRD34B,26.31028358441619,6.610025737557917,1.085309756769124,6.090450856385378,1.1259314394928596e-09,7.209155344497543e-08,Th2
TNFRSF19,38.184758271529304,3.2896062562904684,0.5426070453787243,6.062594071174319,1.339434178315459e-09,8.51578293086758e-08,Th2
CTNNAL1,3032.4436857683145,1.0830469847497726,0.1791025727285326,6.04707664580205,1.474976000031824e-09,9.311946383417697e-08,Th2
KIT,38.43132363208243,4.431351426300725,0.7342883774754826,6.034892505769894,1.5906853920018916e-09,9.972713693745192e-08,Th2
FAM43A,198.9111690176661,-1.1151016981241888,0.18514791189234592,-6.022761405878364,1.7146611908040542e-09,1.0675835331433794e-07,Th2
C15orf61,636.4615764601492,-0.5586963845327104,0.09303192646306593,-6.00542637106967,1.908297504994805e-09,1.1800075256913081e-07,Th2
DUSP22,877.7294410203112,-1.017775227950141,0.16973991587585827,-5.9960865580639595,2.021293105537533e-09,1.241376473251214e-07,Th2
ADGRG2,26.791390891277285,6.1353787173212995,1.0269145457032294,5.974575725889443,2.3068976018126795e-09,1.4072075371057344e-07,Th2
ACOT9,2723.244762439345,-0.46614523620538134,0.07809156697713869,-5.969213504728947,2.3839997890901242e-09,1.4444798722084322e-07,Th2
PLEKHH2,98.0225262636723,2.1952482915437326,0.36947799281362526,5.941485918624322,2.8245000349678522e-09,1.6999724210459847e-07,Th2
AKAP12,185.1339919786144,2.607741431712609,0.4403443782556084,5.922050014679382,3.17952885273658e-09,1.8973551069659494e-07,Th2
SYNE3,5931.370812733658,-0.7972126338279234,0.13463522012926557,-5.921278496536835,3.1944835651176817e-09,1.8973551069659494e-07,Th2
IRF4,12046.82320633154,1.1738955412020138,0.1989135534966153,5.9015362229803445,3.601323320873036e-09,2.1250161399242986e-07,Th2
STK38L,3660.071978166959,0.8864690479414461,0.15064596047445106,5.884452826677603,3.9937302373125905e-09,2.341259518341433e-07,Th2
PKIA,2943.975165417237,0.9590081361950378,0.16306592825880112,5.881106779541344,4.075321382879556e-09,2.3736775125572018e-07,Th2
PLPP1,3678.3524724455,0.9430342293082375,0.16091254901901358,5.860538752616539,4.6136784937589124e-09,2.670018553952273e-07,Th2
CFAP95,43.335712129507286,2.071066175055644,0.3535152696199334,5.85849142324817,4.67090733391485e-09,2.6859204720116727e-07,Th2
SOWAHC,58.602326230978235,4.980275302918714,0.8515697062473434,5.848347195047076,4.964814274680499e-09,2.83685716910225e-07,Th2
MYO3B,847.310523764293,4.459238848963362,0.7634528427741413,5.8408831549567966,5.192481498884422e-09,2.948284463643306e-07,Th2
SPINT2,1078.460195277129,3.5763579189333123,0.616568519244919,5.800422511537082,6.614803606247073e-09,3.732402934824911e-07,Th2
IGSF3,251.84741482578465,2.935988519236984,0.5063632223196189,5.798186735970674,6.703578368322123e-09,3.7590003421870887e-07,Th2
CFH,133.95453039593735,-1.4361150090197456,0.24835125137179892,-5.782596226462265,7.355646797458081e-09,4.099183906632812e-07,Th2
KLF9,678.4411259074292,-0.8570062245894305,0.14850544750486736,-5.770873991415983,7.886143118385376e-09,4.3678589001707465e-07,Th2
DDX60,4194.569230380871,-1.0927961153140036,0.18945431117720157,-5.768124823994545,8.015842724466899e-09,4.412623665639461e-07,Th2
SLC30A6,2004.2338511758908,0.31991339763440413,0.055495700131983496,5.764651979767175,8.18265131839812e-09,4.477150066818075e-07,Th2
CYS1,232.72546176220402,2.06891545009861,0.3589997544843231,5.762999623970374,8.263197945711334e-09,4.4939850032458985e-07,Th2
PPP1R14A,58.47846948123992,3.940747207651783,0.6849887352591946,5.753010239154712,8.766817327623322e-09,4.73933094813074e-07,Th2
CIB2,147.07324466284965,1.5718033093002037,0.2738833024844719,5.7389526672197135,9.526383798362557e-09,5.119297198310546e-07,Th2
TM7SF2,1228.0897672147205,0.6743118795606599,0.11815575862612195,5.706974314255578,1.150021287126571e-08,6.143427325549516e-07,Th2
CYP19A1,37.20419593400263,4.938383499225256,0.8660534365342445,5.702169509294462,1.1829210626473049e-08,6.282006678576393e-07,Th2
FRMD4B,1178.3768206378193,-0.8977838777095168,0.1574981329497573,-5.700282669356558,1.19608930492862e-08,6.314791956079287e-07,Th2
BHLHE22,23.27772903927646,6.465556874460709,1.1388257760771892,5.677388947703688,1.3676625870101446e-08,7.178638276469527e-07,Th2
GPR183,5326.16176375139,2.161209137381962,0.3820743565495189,5.656514498642774,1.5447793489230435e-08,8.017829596876473e-07,Th2
CLIC5,352.3494521368094,-1.8774974808456675,0.33192117033754137,-5.656455955901757,1.545306103075439e-08,8.017829596876473e-07,Th2
EOGT,1498.9531781283113,0.7188971822500019,0.12713136355244262,5.654758685518633,1.56065382925049e-08,8.051190154556241e-07,Th2
AMOT,46.04986945664997,2.7172552266584717,0.4815864629397954,5.642299848029914,1.6779354479053454e-08,8.593329192631313e-07,Th2
RASA2,2240.652104754165,-0.5602734958189183,0.09931111414871739,-5.641599136426104,1.6847798705092405e-08,8.593329192631313e-07,Th2
ELAPOR1,555.1306196804227,1.0502778698121076,0.18676806055278966,5.623434042756193,1.871982580296434e-08,9.494527379166408e-07,Th2
IFNG,10023.185638486639,-2.4788972080337937,0.44126497378360385,-5.617706718887331,1.9350859317392917e-08,9.759751838962192e-07,Th2
TRIM43,72.77423494135014,4.005508658402227,0.7133911517379926,5.614743957286047,1.9685351643412017e-08,9.873297479817983e-07,Th2
THY1,252.79523173497682,6.562311071292097,1.1722442241354565,5.59807498828316,2.1674500331333765e-08,1.0810905469131559e-06,Th2
TRIO,259.29464609904085,1.2050681810914874,0.21538474186542655,5.594956126671312,2.2067756665166458e-08,1.0946577317204548e-06,Th2
MGST2,1100.814608012461,-0.6156394251013987,0.1108181748832179,-5.555401230440495,2.7697479665248768e-08,1.3664089968189394e-06,Th2
CAST,5387.991864443632,-1.0182767260350307,0.18334222377020873,-5.5539673573027235,2.7925765272958008e-08,1.3701837439362224e-06,Th2
TMEM120A,785.1343178182161,0.9155074045329146,0.16541947721890432,5.5344595444549585,3.1218947519010647e-08,1.5234846389277195e-06,Th2
PTPN20,24.292295622473716,4.579637938377712,0.8277686735649171,5.532509364790014,3.156815825828159e-08,1.5285942594881041e-06,Th2
CUTC,1691.0242975846324,-0.4917057896082145,0.08888411427503976,-5.5319872805020935,3.166228694331806e-08,1.5285942594881041e-06,Th2
SIGLEC12,107.67740867707211,1.7704581868486824,0.3227100505285683,5.486219545839495,4.10626509988918e-08,1.971880921372315e-06,Th2
LRATD2,350.62269665901414,-1.5476246357242829,0.28315713312392043,-5.465603563117667,4.6133434842890334e-08,2.2036648135535126e-06,Th2
SLC43A1,487.5494519170402,-0.9044934481776556,0.16570505181349496,-5.458454273293278,4.802975203635895e-08,2.282171586232887e-06,Th2
PIK3R3,371.34802117109655,0.6894171263676785,0.1263365216781744,5.456989928247965,4.842738121782602e-08,2.2890177886624778e-06,Th2
DGKH,1303.0901469844227,-0.605264008269528,0.11099853078207367,-5.452901079004898,4.955463859797095e-08,2.330100402408759e-06,Th2
CACNA1D,138.91016981834815,1.9137785965120893,0.35198076112347804,5.437168186134805,5.4134034921657706e-08,2.521146700881423e-06,Th2
AARD,200.4988661832466,1.8097305088708744,0.3328528026462572,5.43702950518396,5.417616969107178e-08,2.521146700881423e-06,Th2
CCN3,15.511206799096469,6.478956483793154,1.1931255729625605,5.430238552096191,5.6278772341978313e-08,2.6055628548891294e-06,Th2
MICA,456.1743427875135,-0.6987725186660184,0.12873953928518095,-5.427800367671917,5.705280112736176e-08,2.6279218804990918e-06,Th2
IFI44,8997.500861695216,-1.2420949475307737,0.22892470635400566,-5.425779363499617,5.7702201677208914e-08,2.6443425215321936e-06,Th2
CORO1B,746.6973070135676,0.9376444513043025,0.17297464353078487,5.420704631412794,5.9364575414280264e-08,2.70526830076069e-06,Th2
SHMT1,2579.996254374463,0.7881458092869119,0.1454269573156898,5.419530352794369,5.975580451273203e-08,2.70526830076069e-06,Th2
RRS1,3503.967356454791,1.485883998485366,0.27422514013165644,5.418482046438149,6.010717372422728e-08,2.70526830076069e-06,Th2
TNFRSF1A,1969.1180243307017,-0.5802066770116019,0.10708642229694704,-5.418116177256425,6.023027563722848e-08,2.70526830076069e-06,Th2
NR3C1,2728.6180017840197,-0.5322575612162359,0.09825921033675834,-5.416871959300905,6.065074116939896e-08,2.7106677786006623e-06,Th2
CCNG1,7041.00084930563,0.4008482757096712,0.07412667831904368,5.407611467283168,6.38707924863016e-08,2.840519776188822e-06,Th2
UPP1,1952.4812558407295,-0.9993073801870613,0.18492179439118542,-5.403945940915523,6.519059914012676e-08,2.8850035737111e-06,Th2
CHAT,13.065702169978836,5.821720879606379,1.0806945122267044,5.387018083039102,7.16362292966418e-08,3.154789649219913e-06,Th2
CRYBG2,53.21560310713401,-2.596320033068806,0.4841690298000216,-5.362424841880479,8.211213726096253e-08,3.596466299639597e-06,Th2
TGFBR2,5559.664978300125,-0.8891045646048314,0.16582646479817964,-5.361656631147042,8.246217590002178e-08,3.596466299639597e-06,Th2
SYNJ2,972.6914826954771,-0.9706361445126936,0.18138149251012875,-5.3513516240279655,8.729970175107304e-08,3.789142824080228e-06,Th2
MXI1,879.2080624485658,-1.201865729974625,0.22493258452842163,-5.343226427128711,9.130659066321657e-08,3.940498851424434e-06,Th2
OXR1,1338.526139808514,-0.519432193510225,0.09722594045100774,-5.3425268102391605,9.165980934859672e-08,3.940498851424434e-06,Th2
TESPA1,6237.442769467047,0.8340342089324418,0.15625471304007776,5.3376579349547075,9.415487757310785e-08,4.028579311516672e-06,Th2
DPYSL2,4858.469254121833,0.5124865922389097,0.0963399032312411,5.319567230712358,1.0401437235208716e-07,4.429442233936994e-06,Th2
TMCC2,270.2589485430094,-1.5761181360386254,0.29710471731406835,-5.304924641679507,1.1271955241510367e-07,4.777615583115286e-06,Th2
TMPRSS3,592.5380035770884,-1.075195460132828,0.20277160675265185,-5.302495143930039,1.1423050622318575e-07,4.819032757864117e-06,Th2
