gene,n_known_drugs,tractability_summary,novelty_flag,ot_status
PLCG1,0,"SM: 1 bucket(s) [High-Quality Ligand]; AB: 2 bucket(s) [GO CC high conf, Human Protein Atlas loc]; PR: 4 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Half-life Data...]",novel_untapped,ok
POLG,0,"SM: 3 bucket(s) [Structure with Ligand, High-Quality Ligand, Med-Quality Pocket]; PR: 3 bucket(s) [Database Ubiquitination, Half-life Data, Small Molecule Binder]",novel_untapped,ok
PPP3R1,0,"SM: 2 bucket(s) [Structure with Ligand, Med-Quality Pocket]; AB: 4 bucket(s) [UniProt loc high conf, UniProt loc med conf, GO CC med conf...]; PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
PTCD2,0,"PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
RAC2,0,"SM: 2 bucket(s) [Structure with Ligand, Med-Quality Pocket]; AB: 1 bucket(s) [GO CC high conf]; PR: 3 bucket(s) [Database Ubiquitination, Half-life Data, Small Molecule Binder]",novel_untapped,ok
RBFA,0,SM: 1 bucket(s) [Structure with Ligand]; PR: 1 bucket(s) [Half-life Data],novel_untapped,ok
REL,0,"PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
RELA,1,"SM: 4 bucket(s) [Advanced Clinical, Structure with Ligand, High-Quality Ligand...]; PR: 4 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Half-life Data...]",druggable_known,ok
RNFT2,0,"AB: 1 bucket(s) [UniProt SigP or TMHMM]; PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
RPTOR,1,"SM: 3 bucket(s) [Advanced Clinical, Structure with Ligand, High-Quality Ligand]; PR: 4 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Half-life Data...]",druggable_known,ok
RPUSD3,0,"PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
RRAGC,0,"SM: 1 bucket(s) [Structure with Ligand]; PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
SLC3A2,0,"SM: 1 bucket(s) [Structure with Ligand]; AB: 4 bucket(s) [UniProt loc high conf, GO CC high conf, UniProt loc med conf...]; PR: 3 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Half-life Data]",novel_untapped,ok
SMARCA4,0,"SM: 3 bucket(s) [Structure with Ligand, High-Quality Ligand, Med-Quality Pocket]; PR: 5 bucket(s) [Literature, UniProt Ubiquitination, Database Ubiquitination...]",novel_untapped,ok
STAT3,1,"SM: 3 bucket(s) [Structure with Ligand, High-Quality Ligand, Druggable Family]; AB: 1 bucket(s) [GO CC med conf]; PR: 4 bucket(s) [Literature, Database Ubiquitination, Half-life Data...]",druggable_known,ok
STAT5A,0,"SM: 3 bucket(s) [Structure with Ligand, High-Quality Ligand, Druggable Family]; PR: 4 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Half-life Data...]",novel_untapped,ok
STAT6,0,"SM: 3 bucket(s) [Structure with Ligand, High-Quality Ligand, Druggable Family]; PR: 3 bucket(s) [Database Ubiquitination, Half-life Data, Small Molecule Binder]",novel_untapped,ok
TBX21,0,"PR: 3 bucket(s) [UniProt Ubiquitination, Database Ubiquitination, Half-life Data]",novel_untapped,ok
TFB1M,0,SM: 1 bucket(s) [Structure with Ligand]; PR: 1 bucket(s) [Half-life Data],novel_untapped,ok
TMX1,0,"AB: 3 bucket(s) [UniProt loc high conf, UniProt SigP or TMHMM, GO CC med conf]; PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
UBE2E2,0,"PR: 2 bucket(s) [UniProt Ubiquitination, Database Ubiquitination]",novel_untapped,ok
UBE2V2,0,"SM: 1 bucket(s) [Structure with Ligand]; PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
VAV1,0,"SM: 1 bucket(s) [Structure with Ligand]; AB: 1 bucket(s) [GO CC high conf]; PR: 3 bucket(s) [Database Ubiquitination, Half-life Data, Small Molecule Binder]",novel_untapped,ok
VPS8,0,"PR: 2 bucket(s) [Database Ubiquitination, Half-life Data]",novel_untapped,ok
ZNF837,0,no positive tractability buckets,novel_undruggable,ok
