flagship,direction,pathway_name,overlap,query_size,p_value,fdr,expression_artifact_flag,pathway_size_bg
BCL10,down,RNA Polymerase III Transcription Initiation,12,2037,4.4650843214451667e-05,0.0002289950387712,False,19
BCL10,down,Mitochondrial biogenesis,32,2037,4.49380805577043e-05,0.0002293758898608,False,82
BCL10,down,ISG15 antiviral mechanism,26,2037,5.489049853105777e-05,0.0002788540892356,False,62
BCL10,down,RNA Polymerase III Abortive And Retractive Initiation,13,2037,5.771450759492324e-05,0.000289109417115,False,22
BCL10,down,RNA Polymerase III Transcription,13,2037,5.771450759492324e-05,0.000289109417115,False,22
BCL10,down,Response of EIF2AK4 (GCN2) to amino acid deficiency,9,2037,5.71995182781091e-05,0.000289109417115,False,12
BCL10,down,SARS-CoV-2 activates/modulates innate and adaptive immune responses,32,2037,5.940288099978207e-05,0.000296189364985,False,83
BCL10,down,"Antigen processing: Ub, ATP-independent proteasomal degradation",11,2037,6.844732153686317e-05,0.0003397132041253,False,17
BCL10,down,CHD1 and CHD2 subfamily,19,2037,7.272476779789043e-05,0.0003592870409097,False,40
BCL10,down,Signaling by ROBO receptors,29,2037,0.0001222137808894,0.0006010239361551,False,75
BCL10,down,RNA polymerase II transcribes snRNA genes,20,2037,0.0001504887004699,0.0007367105927549,False,45
BCL10,down,FGFR2 alternative splicing,9,2037,0.00015305599067,0.0007425283871693,True,13
BCL10,down,rRNA modification in the mitochondrion,9,2037,0.00015305599067,0.0007425283871693,True,13
BCL10,down,Somatic hypermutation of immunoglobulin genes,43,2037,0.0001622332571635,0.0007835211567943,False,128
BCL10,down,Transcriptional regulation by RUNX2,27,2037,0.0001640058821726,0.0007885461388389,False,69
BCL10,down,HCMV Early Events,26,2037,0.0001895751703906,0.0009074331489363,False,66
BCL10,down,RNA Polymerase I Transcription Initiation,16,2037,0.0001992961554666,0.0009497431833519,False,33
BCL10,down,Signaling by NOTCH4,23,2037,0.0002119457551352,0.0010055752347164,False,56
BCL10,down,CLEC7A (Dectin-1) signaling,27,2037,0.0002171870748733,0.0010244941102255,False,70
BCL10,down,Downstream TCR signaling,25,2037,0.000218750389826,0.0010244941102255,False,63
BCL10,down,"Formation of the ternary complex, and subsequently, the 43S complex",8,2037,0.0002187870430379,0.0010244941102255,False,11
BCL10,down,Mitochondrial translation elongation,7,2037,0.0002944733077933,0.0013729339934782,True,9
BCL10,down,Folding of actin by CCT/TriC,5,2037,0.0003053218730254,0.0014173778329675,False,5
BCL10,down,Transcription of the HIV genome,20,2037,0.0003081843846924,0.001424526104351,False,47
BCL10,down,SUMOylation of DNA damage response and repair proteins,26,2037,0.0003321709617975,0.0015288381446835,False,68
BCL10,down,POLB-Dependent Long Patch Base Excision Repair,6,2037,0.0003512390910516,0.0016097212811175,False,7
BCL10,down,Metabolism of vitamins and cofactors,44,2037,0.0003538059090254,0.0016146142543236,False,136
BCL10,down,RNA Polymerase II Pre-transcription Events,23,2037,0.0003907254689855,0.0017755752324787,False,58
BCL10,down,Deadenylation-dependent mRNA decay,20,2037,0.0004309304222238,0.0019418914842471,True,48
BCL10,down,Dual incision in TC-NER,20,2037,0.0004309304222238,0.0019418914842471,False,48
BCL10,down,Antigen processing-Cross presentation,25,2037,0.0005067279588463,0.0022739417153227,False,66
BCL10,down,Hedgehog 'on' state,21,2037,0.0005180436973683,0.0023150749463306,False,52
BCL10,down,Metabolism of cofactors,12,2037,0.0005416401582684,0.0023921851380516,False,23
BCL10,down,RNA Polymerase III Transcription Initiation From Type 3 Promoter,8,2037,0.0005419620925576,0.0023921851380516,False,12
BCL10,down,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,12,2037,0.0005416401582684,0.0023921851380516,False,23
BCL10,down,Activation of STAT3 by cadherin engagement,22,2037,0.0006047920013207,0.0026586162670302,False,56
BCL10,down,PTEN Regulation,36,2037,0.0006315300861028,0.0027648695233038,False,108
BCL10,down,G2/M Transition,48,2037,0.0007056144450212,0.0030767075193842,False,156
BCL10,down,Azathioprine ADME,9,2037,0.0007273698462152,0.0031587795337652,False,15
BCL10,down,DNA Damage Recognition in GG-NER,15,2037,0.0007481109326934,0.0032358051185173,False,33
BCL10,down,Degradation of beta-catenin by the destruction complex,22,2037,0.0008030239342244,0.0034594271086387,False,57
