target_gene,directionality_index,binom_fdr,binom_p,footprint_class,signed_net,primary_rank,n_hits,neglog10fdr
ZSCAN2,0.5263157894736842,8.946387682217937e-15,6.628786007283404e-16,net_derepressed_on_KO,120,218.0,228,14.048352286065006
LRRC8B,0.5254237288135594,8.16255742529265e-08,8.91404529441691e-09,net_derepressed_on_KO,62,219.0,118,7.08817375035393
SRSF11,0.5252225519287834,1.1604357789073417e-42,3.5291107459167153e-44,net_derepressed_on_KO,354,220.0,674,41.93537888936396
ITM2B,0.5231788079470199,8.362391915698896e-10,7.999412780845501e-11,net_derepressed_on_KO,79,221.0,151,9.07766948246405
STX16,0.5231014338821031,2.0491940204955145e-117,1.4163630221837948e-119,net_derepressed_on_KO,985,222.0,1883,116.68841692005589
SMG7,0.5228215767634855,6.049387117338072e-270,7.804941447123123e-273,net_derepressed_on_KO,2268,223.0,4338,269.218288622875
MAP3K13,0.5227272727272727,7.032575891968756e-06,9.203075999074402e-07,net_derepressed_on_KO,46,224.0,88,5.15288557245314
GZMB,0.5203145478374837,2.6299990720241753e-47,7.198504510102114e-49,net_derepressed_on_KO,397,225.0,763,46.58004440474783
DAXX,0.5202492211838006,3.9225909029517544e-20,2.2629636948187247e-21,net_derepressed_on_KO,167,226.0,321,19.40642698319217
CALCOCO2,0.5198873636043646,8.214500064968646e-175,3.179513434049241e-177,net_derepressed_on_KO,1477,227.0,2841,174.08541886261628
EML2,0.5161744022503516,2.1973195438446226e-43,6.601471524416479e-45,net_derepressed_on_KO,367,228.0,711,42.65810678147856
ZCCHC8,0.5155709342560554,7.626920293863887e-18,4.9131114970148905e-19,net_derepressed_on_KO,149,229.0,289,17.117650792239314
RBM33,0.5155482815057283,4.7265210682530255e-74,7.100017824396306e-76,net_derepressed_on_KO,630,230.0,1222,73.32545840191807
TIGAR,0.5146771037181996,8.38612881462695e-62,1.692528071517189e-63,net_derepressed_on_KO,526,231.0,1022,61.076438470926966
GNLY,0.5145631067961165,1.3174449319075436e-06,1.6099271769508828e-07,net_derepressed_on_KO,53,232.0,103,5.880267528880885
SLC27A3,0.5132275132275133,1.0346034824352826e-11,8.943489692418167e-13,net_derepressed_on_KO,97,233.0,189,10.985226064106056
