gene,is_ctx_specific,delivery_modality,polarity,kinetic_archetype,avoid_tier,n_avoid_flags,avoid_flags,n_concept_modules,stimulation_gated,ctx_specific_de,de_Rest,de_Stim8hr,de_Stim48hr,loeuf,pli,breadth_max_de
BBS10,False,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),clear,0,,0,False,35.0,44.0,79.0,23.0,1.357,1.7467e-12,79.0
BCAP29,False,抗體 (表面但胞外域有限),repressor,early_transient(早期瞬態),clear,0,,0,False,104.0,1.0,105.0,15.0,0.56,0.25556,105.0
BCL10,True,待新模態 (無已知遞送方式),mixed,stim_switch(刺激開關),high_risk,2,泛效應(breadth top10%); 劑量敏感(pLI 0.94),1,True,3455.0,1.0,3456.0,2980.0,0.5462126708195334,0.9432447077010372,3456.0
BCL6,False,待新模態 (無已知遞送方式),repressor,late_sustained(晚期持續),high_risk,2,高遺傳約束(LOEUF 0.33); 劑量敏感(pLI 0.96),0,False,52.0,16.0,28.0,68.0,0.33,0.96038,68.0
BCLAF1,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,72.0,43.0,107.0,115.0,0.929,2.0629e-14,115.0
BEX3,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,298.0,311.0,16.0,13.0,,,311.0
BHLHE40,False,待新模態 (無已知遞送方式),mixed,other(其他),avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.22); 劑量敏感(pLI 1.00),0,False,1532.0,465.0,1997.0,1687.0,0.2171883786993017,0.99999860099106,1997.0
BICDL1,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,75.0,4.0,4.0,79.0,,,79.0
BLOC1S2,False,待新模態 (無已知遞送方式),repressor,late_sustained(晚期持續),clear,0,,0,False,26.0,27.0,45.0,53.0,1.178,0.011948,53.0
BLOC1S4,False,待新模態 (無已知遞送方式),mixed,early_transient(早期瞬態),clear,0,,0,False,80.0,2.0,82.0,4.0,1.872,0.10151,82.0
BLZF1,False,待新模態 (無已知遞送方式),repressor,other(其他),clear,0,,0,False,448.0,454.0,6.0,108.0,1.007,5.0879e-07,454.0
BPTF,False,待新模態 (無已知遞送方式),mixed,other(其他),high_risk,2,高遺傳約束(LOEUF 0.10); 劑量敏感(pLI 1.00),0,False,167.0,437.0,604.0,386.0,0.099,1.0,604.0
BRAT1,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,198.0,219.0,21.0,144.0,0.995,7.4316e-13,219.0
BRD1,False,待新模態 (無已知遞送方式),mixed,early_transient(早期瞬態),high_risk,2,高遺傳約束(LOEUF 0.24); 劑量敏感(pLI 1.00),0,False,227.0,65.0,292.0,136.0,0.245,0.99949,292.0
BRD10,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,118.0,119.0,57.0,1.0,,,119.0
BRD7,False,待新模態 (無已知遞送方式),mixed,other(其他),high_risk,2,高遺傳約束(LOEUF 0.26); 劑量敏感(pLI 1.00),0,False,72.0,80.0,45.0,8.0,0.258,0.99774,80.0
BRK1,False,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),clear,0,,0,False,655.0,622.0,1277.0,426.0,0.785,0.68706,1277.0
BRPF1,False,待新模態 (無已知遞送方式),mixed,early_transient(早期瞬態),avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.18); 劑量敏感(pLI 1.00),0,False,783.0,1005.0,1788.0,802.0,0.176,1.0,1788.0
BSG,False,CAR-T / ADC / 抗體 (細胞表面+胞外域),mixed,late_sustained(晚期持續),clear,0,,0,False,113.0,1.0,1.0,114.0,0.964,2.5873e-05,114.0
BTAF1,False,待新模態 (無已知遞送方式),mixed,other(其他),avoid,3,泛效應(breadth top10%); 高遺傳約束(LOEUF 0.13); 劑量敏感(pLI 1.00),0,False,440.0,1053.0,1493.0,1296.0,0.128,1.0,1493.0
BZW2,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,84.0,4.0,2.0,88.0,0.532,0.1048,88.0
C11orf54,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,886.0,1045.0,159.0,656.0,1.518,2.8718e-08,1045.0
C16orf87,False,待新模態 (無已知遞送方式),mixed,early_transient(早期瞬態),clear,0,,0,False,74.0,129.0,182.0,55.0,1.109,0.0044861,182.0
C18orf32,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,40.0,34.0,74.0,40.0,1.534,0.20064,74.0
C1D,False,待新模態 (無已知遞送方式),repressor,other(其他),clear,0,,0,False,405.0,555.0,960.0,894.0,1.238,0.03411,960.0
C1orf21,False,待新模態 (無已知遞送方式),repressor,other(其他),clear,0,,0,False,834.0,843.0,9.0,9.0,0.414,0.89204,843.0
C2CD2L,False,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),high_risk,2,高遺傳約束(LOEUF 0.30); 劑量敏感(pLI 0.99),0,False,40.0,23.0,63.0,5.0,0.297,0.98718,63.0
C2CD5,False,待新模態 (無已知遞送方式),mixed,early_transient(早期瞬態),clear,0,,0,False,59.0,2.0,61.0,2.0,0.705,9.7333e-12,61.0
C2orf15,False,待新模態 (無已知遞送方式),mixed,late_sustained(晚期持續),clear,0,,0,False,259.0,8.0,14.0,267.0,1.063,0.052798,267.0
C6orf120,False,小分子 (胞內可成藥口袋),mixed,late_sustained(晚期持續),clear,0,,0,False,39.0,17.0,40.0,56.0,,,56.0
C8orf33,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,250.0,264.0,85.0,14.0,1.837,2.0873e-09,264.0
CAAP1,False,待新模態 (無已知遞送方式),activator,late_sustained(晚期持續),clear,0,,0,False,58.0,7.0,5.0,65.0,0.455,0.78449,65.0
CAB39,False,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),clear,0,,0,False,119.0,10.0,129.0,23.0,0.633,0.068013,129.0
CABIN1,False,待新模態 (無已知遞送方式),mixed,other(其他),clear,0,,0,False,164.0,27.0,191.0,182.0,0.586,3.2844e-17,191.0
CALCOCO2,True,待新模態 (無已知遞送方式),repressor,early_transient(早期瞬態),caution,1,泛效應(breadth top10%),0,True,2347.0,5.0,2352.0,484.0,0.8696402064773731,7.441149884659054e-10,2352.0
CALR,False,小分子 (胞內可成藥口袋),repressor,other(其他),clear,0,,0,False,50.0,63.0,13.0,35.0,0.38,0.89133,63.0
CAMK1,False,小分子 (胞內可成藥口袋),mixed,late_sustained(晚期持續),clear,0,,0,False,16.0,46.0,30.0,61.0,0.818,3.0134e-05,61.0
CAND1,False,待新模態 (無已知遞送方式),mixed,other(其他),high_risk,2,高遺傳約束(LOEUF 0.10); 劑量敏感(pLI 1.00),0,False,321.0,838.0,1159.0,929.0,0.101,1.0,1159.0
CAP1,False,待新模態 (無已知遞送方式),repressor,other(其他),clear,0,,0,False,110.0,190.0,102.0,80.0,0.547,0.019817,190.0
CAPZA1,False,待新模態 (無已知遞送方式),mixed,other(其他),caution,1,劑量敏感(pLI 0.93),0,False,52.0,3.0,55.0,53.0,0.362,0.93292,55.0
