target,pass_fraction,in_baseline,stability_class
ARL2BP,0.0,False,NEVER
ARL3,0.0,False,NEVER
ARL4A,0.0,False,NEVER
ARL4C,0.0,False,NEVER
ARL4D,0.0,False,NEVER
ARL5A,0.0,False,NEVER
ARL5B,0.0,False,NEVER
ARL6,0.0,False,NEVER
ARL6IP1,1.0,True,CORE
ARL6IP4,0.0,False,NEVER
ARL6IP5,0.0,False,NEVER
ARL6IP6,0.0,False,NEVER
ARL8A,0.0,False,NEVER
ARL8B,0.0,False,NEVER
ARL9,0.0,False,NEVER
ARMC1,0.0,False,NEVER
ARMC10,0.0,False,NEVER
ARMC12,0.0,False,NEVER
ARMC2,0.0,False,NEVER
ARMC5,0.0,False,NEVER
ARMC6,0.0,False,NEVER
ARMC7,0.0,False,NEVER
ARMC8,0.8,True,BOUNDARY
ARMCX2,0.0,False,NEVER
ARMCX3,0.0,False,NEVER
ARMCX4,0.0,False,NEVER
ARMCX5,0.0,False,NEVER
ARMCX6,0.0,False,NEVER
ARMH1,0.0,False,NEVER
ARMH2,0.0,False,NEVER
ARMH3,0.5,True,BOUNDARY
ARMT1,0.0,False,NEVER
ARNT,1.0,True,CORE
ARNT2,0.0,False,NEVER
ARPC1A,0.0,False,NEVER
ARPC1B,0.5667,True,BOUNDARY
ARPC2,0.6667,True,BOUNDARY
ARPC3,0.5,True,BOUNDARY
ARPC4-TTLL3,0.0,False,NEVER
ARPC5,0.0,False,NEVER
ARPC5L,0.0,False,NEVER
ARRB1,0.0,False,NEVER
ARRB2,0.0,False,NEVER
ARRDC1,0.0,False,NEVER
ARRDC2,0.0,False,NEVER
ARRDC3,0.0,False,NEVER
ARRDC4,0.0,False,NEVER
ARSA,0.0,False,NEVER
ARSB,0.0,False,NEVER
ARSG,0.0,False,NEVER
ARSK,0.0,False,NEVER
ARV1,0.0,False,NEVER
ARX,0.0,False,NEVER
ASAH1,0.0,False,NEVER
ASAH2B,0.0,False,NEVER
ASAP2,0.0,False,NEVER
ASAP3,0.0,False,NEVER
ASB1,0.0,False,NEVER
ASB13,0.0,False,NEVER
ASB14,0.0,False,NEVER
ASB2,0.0,False,NEVER
ASB6,0.0,False,NEVER
ASB7,0.0,False,NEVER
ASB8,0.0,False,NEVER
ASCC1,0.0,False,NEVER
ASCC2,0.0,False,NEVER
ASCC3,0.0,False,NEVER
ASCL1,0.0,False,NEVER
ASCL2,0.0,False,NEVER
ASCL3,0.0,False,NEVER
ASCL4,0.0,False,NEVER
ASCL5,0.0,False,NEVER
ASF1A,0.0,False,NEVER
ASF1B,0.0,False,NEVER
ASH1L,0.0,False,NEVER
ASH2L,0.0,False,NEVER
ASIC1,0.0,False,NEVER
ASIC3,0.0,False,NEVER
ASL,0.0,False,NEVER
ASMTL,0.0,False,NEVER
ASNS,0.0,False,NEVER
ASNSD1,0.0,False,NEVER
ASPH,0.0,False,NEVER
ASPHD2,0.0,False,NEVER
ASPM,0.0,False,NEVER
ASPRV1,0.0,False,NEVER
