landmark_gene,SENP5,PLCG1,CCNC,PMVK
KLHDC2,-0.119402125,0.153725,-0.2531622,-0.0146999955
SCARB1,-0.72808677,-0.4004895,-0.519524,-0.08215001
TPM1,0.35018796,-0.059614103,-0.72005194,0.48690003
TM9SF2,-0.29373115,0.025124997,0.61039877,-0.0050500035
NUP88,-0.014547288,0.29983747,-1.0726405,0.80675
FUT1,0.14088443,0.064106025,0.39772877,0.09890002
PRUNE,0.017517213,-0.54842436,0.5629391,-0.6405
SYPL1,-0.26124954,0.187175,-0.048400484,-1.3274
ZNF451,0.24790406,0.17932835,0.54108244,-0.4415
TRIM13,-0.035624072,-0.36888513,0.9231712,0.35540003
FBXO7,-0.019222638,-0.11403069,-0.11838572,0.2089
ENOSF1,0.56446105,0.22594488,-0.31614634,0.18335
LIG1,-0.20031539,-0.16297078,-0.42437625,-0.62615
GNB5,0.42989582,0.027299568,-1.1710097,0.49
INSIG1,-0.36574966,0.14668685,-0.40466106,0.55075
HIST2H2BE,0.15391952,0.13579366,0.50381255,0.7283
S100A4,0.31185782,-0.132525,-0.24631241,-0.15380001
KTN1,-0.1407818,0.079789326,0.45715874,-0.29775
ARHGAP1,-0.11309153,-0.09981376,0.41295668,-0.08525
LPAR2,-0.41257322,-0.10627578,0.18697228,1.00065
COASY,0.031204777,0.043696802,-0.72290444,-0.4785
ATMIN,0.29964787,-0.005299531,0.947042,0.2606
CASP3,0.23741895,0.08021005,-0.04288545,0.055750005
NISCH,-0.10160187,-0.26168746,-0.18421178,-0.0031999946
CPSF4,0.23837668,-0.16525249,0.86705863,-0.69455004
COPB2,-0.34118214,-0.60772383,-0.3135169,0.09805
GADD45A,0.18190864,0.0078482665,0.49674657,0.6153
SMNDC1,-0.055249613,0.55901575,1.518096,0.38105005
NUDCD3,-0.06940991,-0.43584102,-0.5965922,-0.51705
HMGCR,0.2529554,-0.05716931,0.37602705,-0.573
SLC35B1,-0.2305057,0.17877501,0.13570839,-0.65115
TIMP2,-0.31079882,-0.2987761,-0.23153809,0.68369997
LSM6,0.25617382,-0.023649994,-0.9871354,-0.73175
SACM1L,0.27422452,0.171125,-0.70155996,0.16975
TCERG1,-0.04119533,0.29972622,0.0061337203,-0.68105
KIAA0196,0.2748678,-0.25905877,-0.10041244,0.5849
DNM1,-0.114485964,-0.043738976,-0.9565599,0.25475
DDIT4,-0.3311512,0.26899976,0.034899846,0.23214999
ALAS1,0.07226983,-0.25906318,0.18676794,0.53625
PAFAH1B1,0.025333814,0.15626472,-0.13883343,0.4305
PSRC1,-0.2750283,0.15896536,-0.1111726,0.30719998
RBM15B,-0.19637159,0.39805,0.29583746,0.18455002
TOMM70A,0.32092953,-0.17985952,-0.48804623,-1.2005501
CBR1,0.31073707,0.35046637,-0.64859796,-0.005649999
PRKCD,0.044879153,-0.19961557,-0.4618988,-0.5586
JUN,0.33201092,0.19655503,0.3250618,0.141
TMEM50A,0.7087774,0.3050283,0.24454334,-0.41335002
SCCPDH,0.0015193038,-0.39682454,-0.08535448,-0.87745
TSC22D3,0.5473759,-0.4824761,0.8718121,-0.1393
TFAP2A,-0.019164069,-0.10156527,0.4245407,-1.2898
ZNF395,-0.1394182,-0.11107169,0.27305216,-0.0030499995
VPS72,-0.14591575,-0.016659714,0.09140314,0.5065
CLSTN1,-0.2498124,-0.17955509,-0.18601853,1.20215
MAPK9,-0.47531408,-0.07269544,-0.04330292,-0.3747
POP4,0.2891534,0.2343212,-1.0642653,-1.22735
NFE2L2,-0.1623753,-0.11490482,0.11220248,0.5716
BLCAP,-0.2956242,0.03866197,0.38923025,0.11535
FAM20B,-0.026681207,-0.12914178,0.21873885,0.65064996
CRKL,-0.4327088,-0.3276006,0.56089866,0.31135
ZNF318,-0.14563909,0.42201805,0.037163675,0.73864996
FDFT1,0.16043176,-0.43210602,-1.016471,0.26099998
TRAP1,0.3930061,-0.0054301023,0.32004252,0.55135
GTF2A2,0.49370825,-0.43541932,-0.11786007,-1.0887
MTFR1,-0.047722064,-0.03107011,0.7168376,0.6378
UBE2A,0.50003874,0.3184807,0.3549868,-0.18094999
NIT1,-0.12636395,-0.18302055,0.29807615,0.15605
SYNGR3,-0.35011175,0.3203296,-0.24790782,-0.14645
STK25,0.29525936,-0.27834845,-0.95638025,-0.17285001
ABCF3,0.044997413,-0.21037148,0.096959285,0.44329998
FCHO1,0.20807822,0.008078858,0.21335205,1.0914
OXSR1,0.007696599,-0.09752501,-0.2566898,0.8644
SMARCC1,0.18616861,-0.03294625,-1.0972018,-0.05035001
GLOD4,0.048799306,0.033561744,-0.19859885,-0.18689999
IL4R,-0.41548258,-0.3508796,0.06420759,0.2441
KIT,0.2352747,0.591625,0.7176395,0.33555
PSMG1,0.09208605,0.078922175,-0.114568055,-0.66295
TMEM97,0.10620447,-0.07044999,0.20597263,0.0018000007
LRRC41,-0.04248971,-0.21374743,0.28922203,-0.25024998
KIF1BP,0.08097421,-0.69096893,-0.32300422,-0.69595003
TCEAL4,0.23968609,-0.28761214,-0.19986442,0.44625
NUP133,0.54849625,-0.35205,0.13859448,0.41305003
NUP62,0.113317795,-0.04946468,0.14230283,0.10870001
